year,winner,country
1997,Carl Cox,United Kingdom
1998,Paul Oakenfold,United Kingdom
1999,Paul Oakenfold,United Kingdom
2000,Sasha,United Kingdom
2001,John Digweed,United Kingdom
2002,Tiësto,Netherlands
2003,Tiësto,Netherlands
2004,Tiësto,Netherlands
2005,Paul van Dyk,Germany
2006,Paul van Dyk,Germany
2007,Armin van Buuren,Netherlands
2008,Armin van Buuren,Netherlands
2009,Armin van Buuren,Netherlands
2010,Armin van Buuren,Netherlands
2011,David Guetta,France
2012,Armin van Buuren,Netherlands
2013,Hardwell,Netherlands
2014,Hardwell,Netherlands
2015,Dimitri Vegas & Like Mike,Belgium
2016,Martin Garrix,Netherlands
2017,Martin Garrix,Netherlands
2018,Martin Garrix,Netherlands
2019,Dimitri Vegas & Like Mike,Belgium
2020,David Guetta,France
2021,David Guetta,France
2022,Martin Garrix,Netherlands
2023,David Guetta,France
2024,Martin Garrix,Netherlands
2025,David Guetta,France
