playerId,name,position,gp,goals,assists,points
8471675,Sidney Crosby,C,1420,654,1107,1761
8471676,Bobby Ryan,R,866,261,308,569
8471677,Jack Johnson,D,1228,77,265,342
8471678,Benoit Pouliot,L,625,130,133,263
8471679,Carey Price,G,712,0,13,0
8471680,Gilbert Brule,C,299,43,52,95
8471681,Jack Skille,R,368,43,41,84
8471682,Devin Setoguchi,R,516,131,130,261
8471683,Brian Lee,D,209,5,31,36
8471684,Luc Bourdon,D,36,2,0,2
8471685,Anze Kopitar,C,1521,452,864,1316
8471686,Marc Staal,D,1136,53,181,234
8471687,Marek Zagrapan,C,0,0,0,0
8471688,Sasha Pokulok,D,0,0,0,0
8471689,Ryan O'Marra,C,33,1,6,7
8471690,Alex Bourret,R,0,0,0,0
8471691,Martin Hanzal,C,673,127,211,338
8471692,Ryan Parent,D,106,1,6,7
8471693,Jakub Kindl,D,331,16,58,74
8471694,Kenndal McArdle,L,42,1,2,3
8471695,Tuukka Rask,G,564,0,17,0
8471696,Matt Lashoff,D,74,1,15,16
8471697,Niclas Bergfors,R,173,35,48,83
8471698,T.J. Oshie,R,1010,302,393,695
8471699,Andrew Cogliano,C,1294,190,274,464
8471700,Matt Pelech,R,13,1,3,4
8471701,Joe Finley,D,21,0,1,1
8471702,Matt Niskanen,D,949,72,284,356
8471703,Steve Downie,R,434,76,120,196
8471704,Vladimir Mihalik,D,15,0,3,3
8471705,Brendan Mikkelson,D,131,1,9,10
8471706,Tyler Plante,G,0,0,0,0
8471707,James Neal,L,869,296,263,559
8471708,Ryan Stoa,C,40,4,3,7
8471709,Marc-Edouard Vlasic,D,1323,84,295,379
8471710,Taylor Chorney,D,166,4,18,22
8471711,Scott Jackson,D,1,0,0,0
8471712,Jeff Frazee,G,1,0,0,0
8471713,Petr Kalus,R,11,4,1,5
8471714,Michael Sauer,D,98,4,14,18
8471715,Ondrej Pavelec,G,398,0,6,0
8471716,Justin Abdelkader,L,739,106,146,252
8471663,Mike Blunden,R,127,7,6,13
8471669,Paul Stastny,C,1145,293,529,822
8471670,Guillaume Latendresse,L,341,87,60,147
8471671,Dustin Kohn,D,22,0,4,4
8471672,Tom Fritsche,L,0,0,0,0
8471673,Philip Gogulla,L,0,0,0,0
8471674,Chad Denny,D,0,0,0,0
8470812,Dany Roussin,L,0,0,0,0
8471664,Mason Raymond,L,546,115,136,251
8471665,Chris Durand,C,0,0,0,0
8471666,Andrew Kozek,L,0,0,0,0
8471667,Dan Bertram,R,0,0,0,0
8471717,Adam McQuaid,D,512,16,57,73
8471718,Marc-Andre Cliche,C,151,3,11,14
8471719,Matt Kassian,L,76,4,1,5
8471720,Nathan Hagemo,D,0,0,0,0
8471721,Pier-Olivier Pelletier,G,0,0,0,0
8471722,T.J. Fast,D,0,0,0,0
8471723,Michael Gergen,L,0,0,0,0
8471724,Kris Letang,D,1235,178,628,806
8471725,Jason Bailey,R,0,0,0,0
8471726,Joe Barnes,C,0,0,0,0
8471727,Kristofer Westblom,G,0,0,0,0
8471728,Brodie Dupont,L,1,0,0,0
8471729,Kris Russell,D,912,48,206,254
8471730,Evan Brophey,C,4,0,0,0
8471731,Gord Baldwin,D,0,0,0,0
8471732,Vitaly Anikeyenko,D,0,0,0,0
8471733,Rich Clune,L,139,7,15,22
8471734,Jonathan Quick,G,829,0,23,0
8471736,Radek Smolenak,L,7,0,1,1
8471737,Dan Ryder,C,0,0,0,0
8471738,Perttu Lindgren,C,1,0,0,0
8471739,Shea Guthrie,R,0,0,0,0
8471740,Dalyn Flatt,D,0,0,0,0
8471741,Teemu Laakso,D,17,0,0,0
8471742,Cody Franson,D,550,43,169,212
8471744,Christofer Lofberg,C,0,0,0,0
8470996,Danny Syvret,D,59,3,4,7
8471746,Phil Oreskovic,D,10,1,1,2
8471747,Mikko Lehtonen,R,2,0,0,0
8471748,Mark Fraser,D,219,4,18,22
8471750,Ben Bishop,G,413,0,12,0
8471751,Robby Dee,C,0,0,0,0
8471752,Marc-Andre Gragnani,D,78,3,15,18
8471753,T.J. Hensick,C,112,12,26,38
8471754,Chris Lawrence,R,0,0,0,0
8471755,Dan Collins,R,0,0,0,0
8471756,Oskars Bartulis,D,66,1,8,9
8471757,Marek Bartanus,R,0,0,0,0
8471758,Olivier Legault,L,0,0,0,0
8471759,Jakub Vojta,D,0,0,0,0
8471760,Cody Bass,C,75,2,3,5
8471761,Chris Butler,D,407,14,72,86
8471762,Chris VandeVelde,C,278,18,30,48
8471763,Ilya Zubov,C,11,0,2,2
8471764,Patrick Davis,R,9,1,0,1
8471765,Jonathan Sigalet,D,1,0,0,0
8471766,Jared Boll,R,579,28,38,66
8471767,Blair Jones,C,132,7,10,17
8471668,Mattias Ritola,C,43,4,5,9
8471749,Matt Duffy,D,0,0,0,0
8471735,Keith Yandle,D,1109,103,516,619
8471743,Vladimir Sobotka,C,548,53,118,171
8471768,Tom Pyatt,L,445,43,58,101
8471769,Niklas Hjalmarsson,D,821,25,147,172
8471771,Andrew Thomas,D,0,0,0,0
8471772,Kyle Bailey,C,0,0,0,0
8471773,J.D. Watt,R,0,0,0,0
8471774,Alex Stalock,G,179,0,4,0
