draftYear,overall,round,pickInRound,playerId,name,position,team,teamId,country,name_c,position_c,gp,goals,assists,points,is_goalie,franchise,bin,exp_gp,exp_pts,surplus_gp,surplus_pts
2005,1,1,1,8471675,Sidney Crosby,C,PIT,5,CAN,Sidney Crosby,C,1420,654.0,1107.0,1761,False,PIT,,844.7618549404874,563.9056503589592,575.2381450595126,1197.094349641041
2005,2,1,2,8471676,Bobby Ryan,RW,ANA,24,USA,Bobby Ryan,R,866,261.0,308.0,569,False,ANA,"(1, 2]",809.7681901837298,526.6079284397246,56.23180981627024,42.39207156027544
2005,3,1,3,8471677,Jack Johnson,D,CAR,12,USA,Jack Johnson,D,1228,77.0,265.0,342,False,CAR,"(2, 3]",776.3813047565832,491.9790049263708,451.6186952434168,-149.9790049263708
2005,4,1,4,8471678,Benoit Pouliot,LW,MIN,30,CAN,Benoit Pouliot,L,625,130.0,133.0,263,False,MIN,"(3, 4]",744.5274213101472,459.82791681727923,-119.52742131014725,-196.82791681727923
2005,5,1,5,8471679,Carey Price,G,MTL,8,CAN,Carey Price,G,712,0.0,13.0,0,True,MTL,"(4, 5]",714.1361500778175,429.977365263173,-2.136150077817547,
2005,6,1,6,8471680,Gilbert Brule,C,CBJ,29,CAN,Gilbert Brule,C,299,43.0,52.0,95,False,CBJ,"(5, 6]",685.1403333300681,402.26273784338173,-386.1403333300681,-307.26273784338173
2005,7,1,7,8471681,Jack Skille,RW,CHI,16,USA,Jack Skille,R,368,43.0,41.0,84,False,CHI,"(6, 8]",657.4758969712924,376.5312008020775,-289.4758969712924,-292.5312008020775
2005,8,1,8,8471682,Devin Setoguchi,RW,SJS,28,CAN,Devin Setoguchi,R,516,131.0,130.0,261,False,SJS,"(6, 8]",631.0817089507688,352.6408562385712,-115.08170895076876,-91.64085623857119
2005,9,1,9,8471683,Brian Lee,D,OTT,9,USA,Brian Lee,D,209,5.0,31.0,36,False,OTT,"(8, 10]",605.8994441748678,330.45995960395163,-396.89944417486777,-294.45995960395163
2005,10,1,10,8471684,Luc Bourdon,D,VAN,23,CAN,Luc Bourdon,D,36,2.0,0.0,2,False,VAN,"(8, 10]",581.8734556219907,309.8661931889113,-545.8734556219907,-307.8661931889113
2005,11,1,11,8471685,Anze Kopitar,C,LAK,26,SVN,Anze Kopitar,C,1521,452.0,864.0,1316,False,LAK,"(10, 12]",558.9506513754325,290.7459915963702,962.0493486245675,1025.2540084036298
2005,12,1,12,8471686,Marc Staal,D,NYR,3,CAN,Marc Staal,D,1136,53.0,181.0,234,False,NYR,"(10, 12]",537.0803773024388,272.99391547918094,598.9196226975612,-38.99391547918094
2005,13,1,13,8471687,Marek Zagrapan,C,BUF,7,SVK,Marek Zagrapan,C,0,0.0,0.0,0,False,BUF,"(12, 15]",516.2143051202067,256.5120700893594,-516.2143051202067,-256.5120700893594
2005,14,1,14,8471688,Sasha Pokulok,D,WSH,15,CAN,Sasha Pokulok,D,0,0.0,0.0,0,False,WSH,"(12, 15]",496.30632560147916,241.20956543240027,-496.30632560147916,-241.20956543240027
2005,15,1,15,8471689,Ryan O'Marra,C,NYI,2,JPN,Ryan O'Marra,C,33,1.0,6.0,7,False,NYI,"(12, 15]",477.3124466837421,227.00201504967026,-444.3124466837421,-220.00201504967026
2005,16,1,16,8471690,Alex Bourret,RW,ATL,11,CAN,Alex Bourret,R,0,0.0,0.0,0,False,WPG,"(15, 20]",459.19069625687024,213.81107066488858,-459.19069625687024,-213.81107066488858
2005,17,1,17,8471691,Martin Hanzal,C,PHX,27,CZE,Martin Hanzal,C,673,127.0,211.0,338,False,UTA,"(15, 20]",441.90102941440335,201.5639901284781,231.09897058559665,136.4360098715219
2005,18,1,18,8471692,Ryan Parent,D,NSH,18,CAN,Ryan Parent,D,106,1.0,6.0,7,False,NSH,"(15, 20]",425.4052399634998,190.1932362771945,-319.4052399634998,-183.1932362771945
2005,19,1,19,8471693,Jakub Kindl,D,DET,17,CZE,Jakub Kindl,D,331,16.0,58.0,74,False,DET,"(15, 20]",409.6668759980253,179.63610449692322,-78.66687599802532,-105.63610449692322
2005,20,1,20,8471694,Kenndal McArdle,LW,FLA,13,CAN,Kenndal McArdle,L,42,1.0,2.0,3,False,FLA,"(15, 20]",394.651159348212,169.83437693482028,-352.651159348212,-166.83437693482028
2005,21,1,21,8471695,Tuukka Rask,G,TOR,10,FIN,Tuukka Rask,G,564,0.0,17.0,0,True,TOR,"(20, 25]",380.324908728891,160.7340014539319,183.675091271109,
2005,22,1,22,8471696,Matt Lashoff,D,BOS,6,USA,Matt Lashoff,D,74,1.0,15.0,16,False,BOS,"(20, 25]",366.6564664164723,152.28479355987108,-292.6564664164723,-136.28479355987108
2005,23,1,23,8471697,Niclas Bergfors,F,NJD,1,SWE,Niclas Bergfors,R,173,35.0,48.0,83,False,NJD,"(20, 25]",353.6156282926471,144.44015965581036,-180.6156282926471,-61.44015965581036
2005,24,1,24,8471698,T.J. Oshie,C,STL,19,USA,T.J. Oshie,R,1010,302.0,393.0,695,False,STL,"(20, 25]",341.17357710022264,137.15684009966634,668.8264228997773,557.8431599003336
2005,25,1,25,8471699,Andrew Cogliano,C,EDM,22,CAN,Andrew Cogliano,C,1294,190.0,274.0,464,False,EDM,"(20, 25]",329.30281876360266,130.3946706465514,964.6971812363973,333.6053293534486
2005,26,1,26,8471700,Matt Pelech,D,CGY,20,CAN,Matt Pelech,R,13,1.0,3.0,4,False,CGY,"(25, 31]",317.97712163319443,124.11636096095384,-304.97712163319443,-120.11636096095384
2005,27,1,27,8471701,Joe Finley,D,WSH,15,USA,Joe Finley,D,21,0.0,1.0,1,False,WSH,"(25, 31]",307.17145851948806,118.28728897724142,-286.17145851948806,-117.28728897724142
2005,28,1,28,8471702,Matt Niskanen,D,DAL,25,USA,Matt Niskanen,D,949,72.0,284.0,356,False,DAL,"(25, 31]",296.86195138871545,112.87530997447791,652.1380486112846,243.12469002552209
2005,29,1,29,8471703,Steve Downie,RW,PHI,4,CAN,Steve Downie,R,434,76.0,120.0,196,False,PHI,"(25, 31]",287.0258185978798,107.85057931268578,146.97418140212022,88.14942068731422
2005,30,1,30,8471704,Vladimir Mihalik,D,TBL,14,SVK,Vladimir Mihalik,D,15,0.0,3.0,3,False,TBL,"(25, 31]",277.6413245525565,103.18538785302533,-262.6413245525565,-100.18538785302533
2005,31,2,1,8471705,Brendan Mikkelson,D,ANA,24,CAN,Brendan Mikkelson,D,131,1.0,9.0,10,False,ANA,"(25, 31]",268.6877316762219,98.85400915430591,-137.68773167622192,-88.85400915430591
2005,32,2,2,8471706,Tyler Plante,G,FLA,13,USA,Tyler Plante,G,0,0.0,0.0,0,True,FLA,"(31, 40]",260.14525458497144,94.83255760318657,-260.14525458497144,
2005,33,2,3,8471707,James Neal,LW,DAL,25,CAN,James Neal,L,869,296.0,263.0,559,False,DAL,"(31, 40]",251.99501636636575,91.09885669571764,617.0049836336343,467.90114330428236
2005,34,2,4,8471708,Ryan Stoa,C,COL,21,USA,Ryan Stoa,C,40,4.0,3.0,7,False,COL,"(31, 40]",244.21900686578914,87.63231674385521,-204.21900686578914,-80.63231674385521
2005,35,2,5,8471709,Marc-Edouard Vlasic,D,SJS,28,CAN,Marc-Edouard Vlasic,D,1323,84.0,295.0,379,False,SJS,"(31, 40]",236.80004288814456,84.41382133255445,1086.1999571118554,294.58617866744555
2005,36,2,6,8471710,Taylor Chorney,D,EDM,22,CAN,Taylor Chorney,D,166,4.0,18.0,22,False,EDM,"(31, 40]",229.72173022693886,81.42562190130346,-63.72173022693886,-59.42562190130346
2005,37,2,7,8471711,Scott Jackson,D,STL,19,CAN,Scott Jackson,D,1,0.0,0.0,0,False,STL,"(31, 40]",222.96842743685136,78.65123986876237,-221.96842743685136,-78.65123986876237
2005,38,2,8,8471712,Jeff Frazee,G,NJD,1,USA,Jeff Frazee,G,1,0.0,0.0,0,True,NJD,"(31, 40]",216.5252112697325,76.07537576076862,-215.5252112697325,
2005,39,2,9,8471713,Petr Kalus,C,BOS,6,CZE,Petr Kalus,R,11,4.0,1.0,5,False,BOS,"(31, 40]",210.3778436976523,73.68382484059008,-199.3778436976523,-68.68382484059008
2005,40,2,10,8471714,Michael Sauer,D,NYR,3,USA,Michael Sauer,D,98,4.0,14.0,18,False,NYR,"(31, 40]",204.51274045012914,71.46339877616482,-106.51274045012914,-53.46339877616482
2005,41,2,11,8471715,Ondrej Pavelec,G,ATL,11,CZE,Ondrej Pavelec,G,398,0.0,6.0,0,True,WPG,"(40, 50]",198.91694099601142,69.40185291235734,199.08305900398858,
2005,42,2,12,8471716,Justin Abdelkader,LW,DET,17,USA,Justin Abdelkader,L,739,106.0,146.0,252,False,DET,"(40, 50]",193.57807990368076,67.48781874717034,545.4219200963192,184.51218125282966
2005,43,2,13,8471663,Mike Blunden,RW,CHI,16,CAN,Mike Blunden,R,127,7.0,6.0,13,False,CHI,"(40, 50]",188.48435951628767,65.71074123954845,-61.48435951628767,-52.710741239548454
2005,44,2,14,8471669,Paul Stastny,C,COL,21,CAN,Paul Stastny,C,1145,293.0,529.0,822,False,COL,"(40, 50]",183.62452388163973,64.06082060305499,961.3754761183602,757.9391793969451
2005,45,2,15,8471670,Guillaume Latendresse,RW,MTL,8,CAN,Guillaume Latendresse,L,341,87.0,60.0,147,False,MTL,"(40, 50]",178.98783387913235,62.528958264439325,162.01216612086765,84.47104173556068
2005,46,2,16,8471671,Dustin Kohn,D,NYI,2,CAN,Dustin Kohn,D,22,0.0,4.0,4,False,NYI,"(40, 50]",174.56404348875844,61.106706689080966,-152.56404348875844,-57.106706689080966
2005,47,2,17,8471672,Tom Fritsche,LW,COL,21,USA,Tom Fritsche,L,0,0.0,0.0,0,False,COL,"(40, 50]",170.34337714975766,59.786222796620166,-170.34337714975766,-59.786222796620166
2005,48,2,18,8471673,Philip Gogulla,F,BUF,7,DEU,Philip Gogulla,L,0,0.0,0.0,0,False,BUF,"(40, 50]",166.31650815887204,58.560224709882874,-166.31650815887204,-58.560224709882874
2005,49,2,19,8471674,Chad Denny,D,ATL,11,CAN,Chad Denny,D,0,0.0,0.0,0,False,WPG,"(40, 50]",162.474538060474,57.42195159859,-162.474538060474,-57.42195159859
2005,50,2,20,8470812,Dany Roussin,LW,LAK,26,CAN,Dany Roussin,L,0,0.0,0.0,0,False,LAK,"(40, 50]",158.8089769830231,56.365126396406794,-158.8089769830231,-56.365126396406794
2005,51,2,21,8471664,Mason Raymond,LW,VAN,23,CAN,Mason Raymond,L,546,115.0,136.0,251,False,VAN,"(50, 65]",155.3117248783995,55.38392118573376,390.6882751216005,195.61607881426625
2005,52,2,22,8471665,Chris Durand,C,COL,21,CAN,Chris Durand,C,0,0.0,0.0,0,False,COL,"(50, 65]",151.97505362265838,54.472925059351624,-151.97505362265838,-54.472925059351624
2005,53,2,23,8471666,Andrew Kozek,F,ATL,11,CAN,Andrew Kozek,L,0,0.0,0.0,0,False,WPG,"(50, 65]",148.79158993865056,53.627114281691775,-148.79158993865056,-53.627114281691775
