draftYear,overall,round,pickInRound,playerId,name,position,team,teamId,country
2005,1,1,1,8471675,Sidney Crosby,C,PIT,5,CAN
2005,2,1,2,8471676,Bobby Ryan,RW,ANA,24,USA
2005,3,1,3,8471677,Jack Johnson,D,CAR,12,USA
2005,4,1,4,8471678,Benoit Pouliot,LW,MIN,30,CAN
2005,5,1,5,8471679,Carey Price,G,MTL,8,CAN
2005,6,1,6,8471680,Gilbert Brule,C,CBJ,29,CAN
2005,7,1,7,8471681,Jack Skille,RW,CHI,16,USA
2005,8,1,8,8471682,Devin Setoguchi,RW,SJS,28,CAN
2005,9,1,9,8471683,Brian Lee,D,OTT,9,USA
2005,10,1,10,8471684,Luc Bourdon,D,VAN,23,CAN
2005,11,1,11,8471685,Anze Kopitar,C,LAK,26,SVN
2005,12,1,12,8471686,Marc Staal,D,NYR,3,CAN
2005,13,1,13,8471687,Marek Zagrapan,C,BUF,7,SVK
2005,14,1,14,8471688,Sasha Pokulok,D,WSH,15,CAN
2005,15,1,15,8471689,Ryan O'Marra,C,NYI,2,JPN
2005,16,1,16,8471690,Alex Bourret,RW,ATL,11,CAN
2005,17,1,17,8471691,Martin Hanzal,C,PHX,27,CZE
2005,18,1,18,8471692,Ryan Parent,D,NSH,18,CAN
2005,19,1,19,8471693,Jakub Kindl,D,DET,17,CZE
2005,20,1,20,8471694,Kenndal McArdle,LW,FLA,13,CAN
2005,21,1,21,8471695,Tuukka Rask,G,TOR,10,FIN
2005,22,1,22,8471696,Matt Lashoff,D,BOS,6,USA
2005,23,1,23,8471697,Niclas Bergfors,F,NJD,1,SWE
2005,24,1,24,8471698,T.J. Oshie,C,STL,19,USA
2005,25,1,25,8471699,Andrew Cogliano,C,EDM,22,CAN
2005,26,1,26,8471700,Matt Pelech,D,CGY,20,CAN
2005,27,1,27,8471701,Joe Finley,D,WSH,15,USA
2005,28,1,28,8471702,Matt Niskanen,D,DAL,25,USA
2005,29,1,29,8471703,Steve Downie,RW,PHI,4,CAN
2005,30,1,30,8471704,Vladimir Mihalik,D,TBL,14,SVK
2005,31,2,1,8471705,Brendan Mikkelson,D,ANA,24,CAN
2005,32,2,2,8471706,Tyler Plante,G,FLA,13,USA
2005,33,2,3,8471707,James Neal,LW,DAL,25,CAN
2005,34,2,4,8471708,Ryan Stoa,C,COL,21,USA
2005,35,2,5,8471709,Marc-Edouard Vlasic,D,SJS,28,CAN
2005,36,2,6,8471710,Taylor Chorney,D,EDM,22,CAN
2005,37,2,7,8471711,Scott Jackson,D,STL,19,CAN
2005,38,2,8,8471712,Jeff Frazee,G,NJD,1,USA
2005,39,2,9,8471713,Petr Kalus,C,BOS,6,CZE
2005,40,2,10,8471714,Michael Sauer,D,NYR,3,USA
2005,41,2,11,8471715,Ondrej Pavelec,G,ATL,11,CZE
2005,42,2,12,8471716,Justin Abdelkader,LW,DET,17,USA
2005,43,2,13,8471663,Mike Blunden,RW,CHI,16,CAN
2005,44,2,14,8471669,Paul Stastny,C,COL,21,CAN
2005,45,2,15,8471670,Guillaume Latendresse,RW,MTL,8,CAN
2005,46,2,16,8471671,Dustin Kohn,D,NYI,2,CAN
2005,47,2,17,8471672,Tom Fritsche,LW,COL,21,USA
2005,48,2,18,8471673,Philip Gogulla,F,BUF,7,DEU
2005,49,2,19,8471674,Chad Denny,D,ATL,11,CAN
2005,50,2,20,8470812,Dany Roussin,LW,LAK,26,CAN
2005,51,2,21,8471664,Mason Raymond,LW,VAN,23,CAN
2005,52,2,22,8471665,Chris Durand,C,COL,21,CAN
2005,53,2,23,8471666,Andrew Kozek,F,ATL,11,CAN
2005,54,2,24,8471667,Dan Bertram,RW,CHI,16,CAN
2005,55,2,25,8471717,Adam McQuaid,D,CBJ,29,CAN
2005,56,2,26,8471718,Marc-Andre Cliche,RW,NYR,3,CAN
2005,57,2,27,8471719,Matt Kassian,LW,MIN,30,CAN
2005,58,2,28,8471720,Nathan Hagemo,D,CAR,12,USA
2005,59,2,29,8471721,Pier-Olivier Pelletier,G,PHX,27,CAN
2005,60,2,30,8471722,T.J. Fast,D,LAK,26,CAN
2005,61,2,31,8471723,Michael Gergen,F,PIT,5,USA
2005,62,3,1,8471724,Kris Letang,D,PIT,5,CAN
2005,63,3,2,8471725,Jason Bailey,RW,ANA,24,CAN
2005,64,3,3,8471726,Joe Barnes,C,CAR,12,CAN
2005,65,3,4,8471727,Kristofer Westblom,G,MIN,30,CAN
2005,66,3,5,8471728,Brodie Dupont,C,NYR,3,CAN
2005,67,3,6,8471729,Kris Russell,D,CBJ,29,CAN
2005,68,3,7,8471730,Evan Brophey,F,CHI,16,CAN
2005,69,3,8,8471731,Gord Baldwin,D,CGY,20,CAN
2005,70,3,9,8471732,Vitaly Anikeyenko,D,OTT,9,RUS
2005,71,3,10,8471733,Rich Clune,LW,DAL,25,CAN
2005,72,3,11,8471734,Jonathan Quick,G,LAK,26,USA
2005,73,3,12,8471736,Radek Smolenak,LW,TBL,14,CZE
2005,74,3,13,8471737,Dan Ryder,C,CGY,20,CAN
2005,75,3,14,8471738,Perttu Lindgren,C,DAL,25,FIN
2005,76,3,15,8471739,Shea Guthrie,F,NYI,2,CAN
2005,77,3,16,8471740,Dalyn Flatt,D,NYR,3,CAN
2005,78,3,17,8471741,Teemu Laakso,D,NSH,18,FIN
2005,79,3,18,8471742,Cody Franson,D,NSH,18,CAN
2005,80,3,19,8471744,Christofer Lofberg,C,DET,17,SWE
2005,81,3,20,8470996,Danny Syvret,D,EDM,22,CAN
2005,82,3,21,8471746,Phil Oreskovic,D,TOR,10,CAN
2005,83,3,22,8471747,Mikko Lehtonen,RW,BOS,6,FIN
2005,84,3,23,8471748,Mark Fraser,D,NJD,1,CAN
2005,85,3,24,8471750,Ben Bishop,G,STL,19,USA
2005,86,3,25,8471751,Robby Dee,F,EDM,22,USA
2005,87,3,26,8471752,Marc-Andre Gragnani,D,BUF,7,CAN
2005,88,3,27,8471753,T.J. Hensick,C,COL,21,USA
2005,89,3,28,8471754,Chris Lawrence,C,TBL,14,CAN
2005,90,3,29,8471755,Dan Collins,RW,FLA,13,USA
2005,91,3,30,8471756,Oskars Bartulis,D,PHI,4,LVA
2005,92,4,1,8471757,Marek Bartanus,RW,TBL,14,SVK
2005,93,4,2,8471758,Olivier Legault,LW,FLA,13,CAN
2005,94,4,3,8471759,Jakub Vojta,D,CAR,12,CZE
2005,95,4,4,8471760,Cody Bass,C,OTT,9,CAN
2005,96,4,5,8471761,Chris Butler,D,BUF,7,USA
2005,97,4,6,8471762,Chris VandeVelde,C,EDM,22,USA
2005,98,4,7,8471763,Ilya Zubov,C,OTT,9,RUS
2005,99,4,8,8471764,Patrick Davis,LW,NJD,1,USA
2005,100,4,9,8471765,Jonathan Sigalet,D,BOS,6,CAN
2005,101,4,10,8471766,Jared Boll,RW,CBJ,29,USA
2005,102,4,11,8471767,Blair Jones,C,TBL,14,CAN
2005,103,4,12,8471668,Mattias Ritola,F,DET,17,SWE
2005,104,4,13,8471749,Matt Duffy,D,FLA,13,USA
2005,105,4,14,8471735,Keith Yandle,D,PHX,27,USA
2005,106,4,15,8471743,Vladimir Sobotka,F,BOS,6,CZE
2005,107,4,16,8471768,Tom Pyatt,C,NYR,3,CAN
2005,108,4,17,8471769,Niklas Hjalmarsson,D,CHI,16,SWE
2005,109,4,18,8471771,Andrew Thomas,D,WSH,15,USA
2005,110,4,19,8471772,Kyle Bailey,C,MIN,30,CAN
2005,111,4,20,8471773,J.D. Watt,RW,CGY,20,CAN
2005,112,4,21,8471774,Alex Stalock,G,SJS,28,USA
2005,113,4,22,8471775,Nathan Davis,F,CHI,16,USA
2005,114,4,23,8471776,Alexandre Vincent,G,VAN,23,CAN
2005,115,4,24,8471777,Janne Kolehmainen,LW,OTT,9,FIN
2005,116,4,25,8471778,Jordan Lavallee-Smotherman,LW,ATL,11,USA
2005,117,4,26,8471779,Denis Istomin,RW,CHI,16,RUS
2005,118,4,27,8471780,Patrick McNeill,D,WSH,15,CAN
2005,119,4,28,8471781,Jeremy Duchesne,G,PHI,4,USA
2005,120,4,29,8471782,Viacheslav Trukhno,C,EDM,22,RUS
2005,121,4,30,8471783,Juraj Mikus,F,MTL,8,SVK
2005,122,4,31,8471784,Morten Madsen,F,MIN,30,DNK
2005,123,4,32,8471785,Ondrej Otcenas,F,CAR,12,SVK
2005,124,4,33,8471786,Ray Macias,D,COL,21,USA
2005,125,4,34,8471787,Tommi Leinonen,D,PIT,5,FIN
2005,126,5,1,8471788,Tim Crowder,RW,PIT,5,CAN
2005,127,5,2,8471789,Bobby Bolt,LW,ANA,24,CAN
2005,128,5,3,8471790,Kevin Lalande,G,CGY,20,CAN
2005,129,5,4,8471791,Anthony Aiello,D,MIN,30,USA
2005,130,5,5,8471792,Mathieu Aubin,C,MTL,8,CAN
2005,131,5,6,8471793,Tomas Popperle,G,CBJ,29,CZE
2005,132,5,7,8471794,Darren Helm,F,DET,17,CAN
2005,133,5,8,8471795,Stanislav Lascek,RW,TBL,14,SVK
2005,134,5,9,8471796,Brennan Turner,D,CHI,16,CAN
2005,135,5,10,8471797,Tomas Pospisil,RW,ATL,11,CZE
2005,136,5,11,8471798,Tomas Kudelka,D,OTT,9,CZE
2005,137,5,12,8471799,Johan Ryno,F,DET,17,SWE
2005,138,5,13,8471800,Matt Butcher,C,VAN,23,USA
2005,139,5,14,8471801,Patrik Hersley,D,LAK,26,SWE
2005,140,5,15,8471802,Taylor Dakers,G,SJS,28,CAN
2005,141,5,16,8471803,Brian Salcido,D,ANA,24,USA
2005,142,5,17,8471804,Nathan Gerbe,C,BUF,7,USA
2005,143,5,18,8471805,Daren Machesney,G,WSH,15,CAN
2005,144,5,19,8470659,Masi Marjamaki,RW,NYI,2,FIN
2005,145,5,20,8471806,Timothy Kunes,D,CAR,12,USA
2005,146,5,21,8471807,Tom Wandell,F,DAL,25,SWE
2005,147,5,22,8471808,Trevor Koverko,D,NYR,3,CAN
2005,148,5,23,8471809,Anton Krysanov,C,PHX,27,RUS
2005,149,5,24,8471810,Derek Joslin,D,SJS,28,CAN
2005,150,5,25,8471811,Cal O'Reilly,C,NSH,18,CAN
2005,151,5,26,8471812,Jeff May,D,DET,17,CAN
2005,152,5,27,8471813,Josh Beaulieu,C,PHI,4,CAN
2005,153,5,28,8471814,Alex Berry,RW,TOR,10,USA
2005,154,5,29,8471815,Wacey Rabbit,C,BOS,6,CAN
2005,155,5,30,8471816,Mark Fayne,D,NJD,1,USA
2005,156,5,31,8471817,Ryan Reaves,RW,STL,19,CAN
2005,157,5,32,8471818,Fredrik Pettersson,LW,EDM,22,SWE
2005,158,5,33,8471819,Matt Keetley,G,CGY,20,CAN
2005,159,5,34,8471820,Risto Korhonen,D,CAR,12,FIN
2005,160,5,35,8471821,Matt Watkins,RW,DAL,25,CAN
2005,161,5,36,8471822,Brian Foster,G,FLA,13,USA
2005,162,5,37,8471823,Paul Fenton,F,SJS,28,USA
2005,163,6,1,8471824,Marek Kvapil,RW,TBL,14,CZE
2005,164,6,2,8471825,Roman Derlyuk,D,FLA,13,RUS
2005,165,6,3,8471826,Kevin Beech,G,TBL,14,CAN
2005,166,6,4,8471827,Jason Lynch,D,COL,21,CAN
2005,167,6,5,8471828,Joe Fallon,G,CHI,16,USA
2005,168,6,6,8471829,Justin Mercier,F,COL,21,USA
2005,169,6,7,8471830,Mike Gauthier,D,STL,19,CAN
