franchise,picks,surplus_gp,surplus_pts,surplus_gp_per_pick,surplus_pts_per_pick
LAK,104,5522.198985981954,1187.0004512650637,53.098067172903406,11.41346587754869
STL,105,3466.3801675323884,1272.9127305464328,33.01314445268942,12.122978386156504
SJS,94,2401.5423103424896,280.3002893776102,25.548322450452016,2.9819179721022366
OTT,93,2347.130948297444,890.3717284397237,25.23796718599402,9.57388955311531
CBJ,102,2057.5113004646173,-579.8786649441281,20.171679416319776,-5.685084950432628
PIT,82,2018.6478939350854,1287.6641228310016,24.6176572431108,15.703221010134165
NSH,102,1830.6315222940248,635.1124298165574,17.947367865627694,6.226592449181935
ANA,94,1559.6995703087964,157.8793511134627,16.592548620306346,1.6795675650368371
WSH,95,1144.886465251704,916.3828202328668,12.051436476333727,9.64613494981965
MIN,90,879.7487061189025,-735.7175759471005,9.774985623543362,-8.174639732745561
CAR,97,726.7701513001832,-538.4926786915705,7.492475786599827,-5.551470914346088
TOR,104,656.7652708579519,-293.5196459277107,6.31505068132646,-2.8223042877664493
DAL,94,586.88978440202,493.937650573711,6.243508344702341,5.254655857167138
TBL,104,533.6413544030022,1329.4338602723296,5.131166869259636,12.783017887233939
NYI,106,377.77571040470707,-292.27780500266397,3.5639217962708214,-2.7573377830439996
DET,105,302.63413928419254,-428.26437094602215,2.8822298979446908,-4.07870829472402
BOS,89,74.27296967550264,768.7294097845896,0.834527749162951,8.637409098703253
BUF,108,-628.6347502858882,-1890.4920395342795,-5.820692132276743,-17.504555921613697
NYR,94,-911.4718586949506,-618.7989130131236,-9.696509135052667,-6.582967159714081
NJD,98,-1209.244126875654,-1422.4714727360645,-12.33922578444545,-14.515015027919025
EDM,101,-1287.5765141899806,-213.86873864126986,-12.748282318712679,-2.117512263774949
VGK,20,-1300.89311662609,-672.6459122842134,-65.0446558313045,-33.63229561421067
PHI,101,-1644.290022973158,-630.0188821789194,-16.280099237358,-6.237810714642766
WPG,103,-2204.2261174823007,-1227.6171800575542,-21.400253567789328,-11.91861339861703
CHI,122,-2240.064418719663,-233.19494244042812,-18.36118375999724,-1.9114339544297387
CGY,90,-2255.2990138363584,-315.3556470887462,-25.058877931515095,-3.503951634319402
MTL,97,-2622.370357895152,-1742.91440963966,-27.03474595768198,-17.96818979009959
FLA,102,-2718.808819053409,-1774.7387566505874,-26.654988422092245,-17.39939957500576
UTA,102,-3329.920804758948,-1715.0358066648093,-32.64628239959753,-16.8140765359295
COL,99,-4303.502066385665,303.76380811712585,-43.469717842279444,3.068321294112382
VAN,88,-6404.096594217611,-2730.56331008579,-72.77382493429103,-31.02912852370216
