slug,title,author,year,era,gutenberg_id,words
plato-apology,Apology,Plato,-399,Ancient,1656,16094
aristotle-ethics,Nicomachean Ethics,Aristotle,-350,Ancient,8438,113321
aurelius-meditations,Meditations,Marcus Aurelius,180,Ancient,2680,71957
augustine-confessions,Confessions,Augustine of Hippo,400,Ancient,3296,111821
descartes-discourse,Discourse on the Method,Rene Descartes,1637,Early Modern,59,23039
spinoza-ethics,Ethics,Baruch Spinoza,1677,Early Modern,3800,87955
hume-enquiry,An Enquiry Concerning Human Understanding,David Hume,1748,Early Modern,9662,57808
kant-critique,Critique of Pure Reason,Immanuel Kant,1781,Modern,4280,209044
mill-utilitarianism,Utilitarianism,John Stuart Mill,1863,Modern,11224,27621
nietzsche-bge,Beyond Good and Evil,Friedrich Nietzsche,1886,Modern,4363,62678
james-pragmatism,Pragmatism,William James,1907,Modern,5116,51984
russell-problems,The Problems of Philosophy,Bertrand Russell,1912,Modern,5827,42756
