slug,title,author,year,era,gutenberg_id,words,flesch_ease,flesch_kincaid_grade,gunning_fog,avg_sentence_len,avg_syllables_per_word,ttr_10k,i_per_1k,we_per_1k,you_per_1k,questions_per_1k,exclaims_per_1k,abstract_per_1k,polysyllabic_share,concreteness,concreteness_coverage,vader_mean,vader_pos_share,vader_neg_share
plato-apology,Apology,Plato,-399,Ancient,1656,16226,60.677199517464,12.260874412807976,15.50748802790218,30.048148148148147,1.3671268334771354,0.1718,46.53026007642056,2.280290891162332,17.995809195118945,5.300135584863799,0.8628127696289906,22.618020460988536,0.0872057192160729,2.5941793754538853,0.8027984258854395,0.3484812499999999,0.675,0.275
aristotle-ethics,Nicomachean Ethics,Aristotle,-350,Ancient,8438,113664,39.56689763006759,19.03546244876127,22.415547432432437,45.4656,1.4316846143018018,0.1954,2.9912725225225225,9.079391891891891,0.4838823198198198,1.2756897522522523,0.026393581081081,39.75753096846847,0.1057326858108108,2.561606763374296,0.8200640260650489,0.440205037037037,0.7,0.18
aurelius-meditations,Meditations,Marcus Aurelius,180,Ancient,2680,71889,61.09226792140064,11.407052172665871,14.565282212367666,26.844286781179985,1.4006593498309894,0.2279,12.505390254420009,4.242651866071304,2.309115441861759,5.856250608577112,0.5981443614461183,29.016956697130297,0.0956891874973918,2.60917552045944,0.7928286852589641,0.2951447216890595,0.6161228406909789,0.2706333973128599
augustine-confessions,Confessions,Augustine of Hippo,400,Ancient,3296,112118,62.379898040556085,12.564688830923686,15.60404356349379,32.22707674619144,1.3208583813482224,0.2045,45.246971940277206,11.086533830428657,0.6689380830910291,6.778572575322428,0.9097557930037996,22.280097754151875,0.0678303216254303,2.6676038687777544,0.8082039911308204,0.5758831140350877,0.8004385964912281,0.1732456140350877
descartes-discourse,Discourse on the Method,Rene Descartes,1637,Early Modern,59,23062,-6.711377681951561,36.48820730920912,40.37946391844417,89.73540856031128,1.447576099210823,0.1861,41.45347324603244,10.146561443066515,0.1300841210649553,0.3035296158182291,0.0,29.70254097649813,0.1121325123579915,2.557377029021151,0.8151563753007217,0.843815625,0.953125,0.046875
spinoza-ethics,Ethics,Baruch Spinoza,1677,Early Modern,3800,89110,56.76807002276169,11.87924495054229,15.305239189164917,26.317188422917894,1.4580967343732465,0.0949,8.843003029962967,17.495230613848054,0.0448883402536191,0.3478846369655482,0.0,43.85590842778589,0.1194590954999439,2.5189302228453805,0.767457301158478,0.3446630751964085,0.6442199775533108,0.186307519640853
hume-enquiry,An Enquiry Concerning Human Understanding,David Hume,1748,Early Modern,9662,57266,36.99380238157804,16.886631151221803,20.68569902767504,35.37121680049413,1.5832081863583976,0.1884,5.064086892746132,20.62305731149373,2.898753186882269,2.287570286033598,0.0698494743827052,57.88775189466699,0.1634303076869346,2.504255561633844,0.8082237205703549,0.3756816326530612,0.685131195335277,0.2040816326530612
kant-critique,Critique of Pure Reason,Immanuel Kant,1781,Modern,4280,209794,24.541814021689447,20.097839415461028,24.569406337436405,41.30616263043906,1.6591894906432023,0.1791,7.011639989704186,16.883228309675204,0.548156763301143,0.8103186935756027,0.0047665805504447,68.39566431833131,0.2011735321315194,2.3598682048938358,0.8266183377578109,0.3537009812667261,0.6458519179304193,0.2087421944692239
mill-utilitarianism,Utilitarianism,John Stuart Mill,1863,Modern,11224,27706,30.19643769964088,19.802128850700218,23.496860698043747,43.290625,1.5685411102288314,0.1953,3.104020789720638,7.760051974301596,0.0,1.299357539883058,0.0,53.30975240020212,0.1545152674510936,2.4350944650147155,0.8295007087730352,0.5619302083333334,0.75,0.1875
nietzsche-bge,Beyond Good and Evil,Friedrich Nietzsche,1886,Modern,4363,64081,36.11926395123663,17.663590285615502,21.245436870443644,38.00771055753262,1.5619138278116758,0.2373,6.008021098297467,9.550412758852078,1.919445701533996,4.603548633760397,5.898784351055695,43.9599881400103,0.1510588161857649,2.5769258368640027,0.7988230630850383,0.4303593625498008,0.7051792828685259,0.2310756972111553
james-pragmatism,Pragmatism,William James,1907,Modern,5116,52466,54.42522490129653,11.30321471955181,14.969628261839029,22.683095546908778,1.5293904623946937,0.2445,10.578279266572638,21.15655853314528,8.939122479319941,3.716692715282278,0.8005184309838753,42.694316319140015,0.1474097510768879,2.613586226603801,0.7955217094794271,0.4532273381294964,0.7122302158273381,0.1798561151079136
russell-problems,The Problems of Philosophy,Bertrand Russell,1912,Modern,5827,43145,49.827414549936975,14.037176475129598,17.75778229095011,31.106705118961788,1.4826747015876696,0.1409,5.655348244292502,34.07115540618843,0.2781318808668443,0.9734615830339552,0.0,38.05771236527987,0.1328775060841349,2.51354688162919,0.8229338121602074,0.2624714285714286,0.575091575091575,0.271062271062271
