sex,age,n,median_gl,p90_gl,p25_gl,p75_gl
F,14,2261,52.52,68.2,45.3,60.24
F,15,3532,56.04,71.81,48.81,64.16
F,16,5362,59.37,75.89,51.46,68.06
F,17,6822,63.01,80.06,54.7,71.98
F,18,6465,65.14,82.44,56.73,74.24
F,19,7169,67.5,84.21,58.91,76.08
F,20,8593,68.83,85.31,60.45,77.52
F,21,10090,70.68,87.52,62.21,79.32
F,22,10746,72.16,89.6,63.53,81.36
F,23,8074,72.56,89.6,63.9,81.41
F,24,6767,72.88,91.1,63.76,82.68
F,25,6502,72.27,90.95,63.2,81.89
F,26,5919,72.34,91.53,62.84,81.9
F,27,5460,71.4,91.48,62.09,81.46
F,28,4866,71.25,91.06,62.16,80.98
F,29,4569,71.88,91.1,62.53,81.64
F,30,4052,70.94,90.55,61.73,81.05
F,31,3553,71.01,90.09,61.64,80.64
F,32,3216,71.09,90.42,61.53,80.66
F,33,2947,70.38,89.67,60.52,80.17
F,34,2636,69.28,90.59,60.08,79.94
F,35,2371,69.61,89.76,60.13,80.42
F,36,2219,69.23,88.64,60.33,79.4
F,37,2063,68.97,88.49,59.33,78.57
F,38,1869,68.32,86.59,59.28,78.12
F,39,2329,68.05,85.34,58.94,77.06
F,40,2451,67.55,84.5,58.25,76.55
F,41,2291,67.63,84.31,58.39,76.39
F,42,2185,67.18,84.42,58.51,75.58
F,43,2016,66.55,82.91,57.57,74.61
F,44,1835,65.86,83.14,57.61,74.59
F,45,1800,65.15,82.62,57.45,73.94
F,46,1535,64.87,83.82,55.69,74.34
F,47,1363,63.56,80.58,55.59,72.8
F,48,1360,63.14,79.26,55.15,72.25
F,49,1415,63.17,79.17,54.95,71.43
F,50,1433,62.34,77.95,54.66,71.05
F,51,1271,62.3,77.1,54.53,70.53
F,52,1162,60.39,75.12,52.77,68.73
F,53,988,60.66,76.47,52.93,69.45
F,54,803,59.94,76.84,52.67,69.47
F,55,773,59.54,76.73,51.82,68.53
F,56,648,58.13,76.08,51.05,67.58
F,57,528,57.67,75.09,49.3,66.62
F,58,485,59.2,73.61,49.94,67.25
F,59,587,56.9,72.28,49.0,64.5
F,60,541,55.81,69.7,48.42,63.4
F,61,455,56.64,70.02,48.99,63.38
F,62,432,57.3,70.54,49.5,64.04
F,63,368,55.76,66.51,47.62,62.75
F,64,333,53.38,66.91,45.94,61.48
F,65,266,53.76,67.76,46.49,62.02
F,66,234,54.12,68.88,46.51,60.86
F,67,209,51.87,65.73,44.16,58.88
F,68,172,50.7,65.82,45.42,58.7
F,69,167,49.3,66.91,44.03,58.37
F,70,146,48.52,64.18,43.2,58.71
F,71,132,49.46,67.45,41.44,58.86
M,14,3993,49.13,65.16,41.77,57.39
M,15,7888,56.8,72.16,48.52,65.2
M,16,13699,63.17,77.63,55.53,70.81
M,17,20449,68.22,82.16,60.52,75.58
M,18,18174,71.34,85.44,64.03,78.73
M,19,19032,73.74,87.66,66.48,80.99
M,20,21753,75.56,89.41,68.19,82.82
M,21,22494,76.96,91.26,69.58,84.39
M,22,23221,78.47,93.03,71.12,86.07
M,23,17509,78.49,93.63,71.03,86.35
