sex,bw_bin,n,median_dots
F,40,2645,268.27
F,45,8887,321.09
F,50,19412,328.11
F,55,28862,332.25
F,60,36081,333.41
F,65,28433,331.33
F,70,22799,326.58
F,75,12290,319.85
F,80,15583,323.9
F,85,3836,294.1
F,90,3977,297.33
F,95,3292,303.31
F,100,2620,302.39
F,105,2113,298.86
F,110,1531,302.57
F,115,1225,303.99
F,120,827,315.52
F,125,623,316.51
F,130,487,329.76
F,135,310,324.22
F,140,198,335.83
F,145,146,355.14
M,40,1047,197.02
M,45,1018,226.94
M,50,3834,285.15
M,55,13502,336.18
M,60,14692,333.81
M,65,22509,354.65
M,70,54769,362.14
M,75,20974,338.63
M,80,67660,367.31
M,85,28321,349.62
M,90,59579,372.56
M,95,18053,352.15
M,100,42055,375.36
M,105,9064,352.81
M,110,9971,359.23
M,115,16684,381.23
M,120,4394,356.07
M,125,3571,352.94
M,130,2841,362.77
M,135,2223,370.14
M,140,1882,375.51
M,145,1406,377.79
M,150,1018,378.96
M,155,707,383.78
M,160,499,387.99
M,165,368,385.01
M,170,224,383.8
M,175,187,373.07
M,180,346,370.6
