Name,Sex,Equipment,Age,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Goodlift,Dots,Tested,Year,Federation
A Aanvi,F,Raw,14.0,74.2,77.5,40.0,90.0,207.5,41.38,203.25,Yes,2026,PI
A Ajeesha,F,Raw,16.5,71.1,112.5,55.0,132.5,300.0,61.15,300.75,Yes,2017,AsianPF
A Ashwin,M,Raw,16.5,82.55,170.0,95.0,220.0,485.0,67.32,328.42,Yes,2012,AsianPF
A Azize Labidine,M,Raw,,81.7,210.0,130.0,220.0,560.0,78.14,381.45,Yes,2025,FAPL
A Basma Ahmadi,F,Raw,,79.01,115.0,50.0,135.0,300.0,58.11,284.44,Yes,2025,FAPL
A Belousov,M,Raw,17.5,73.6,75.0,75.0,100.0,250.0,36.81,181.55,Yes,2019,KPF
A Enacer Boudeguezdam,M,Raw,,73.79,197.5,135.0,210.0,542.5,79.76,393.31,Yes,2026,FAPL
A Hakim Khiate,M,Raw,,58.48,140.0,80.0,187.5,407.5,67.75,351.37,Yes,2025,FAPL
A Hemanth Kumar,M,Raw,22.5,63.75,175.0,105.0,200.0,480.0,76.21,386.08,Yes,2022,PI
A K S Shri Ram,M,Raw,16.0,78.2,117.5,50.0,150.0,317.5,45.3,221.93,Yes,2019,PI
A Kader Siagh,M,Raw,,62.14,170.0,80.0,185.0,435.0,70.01,356.93,Yes,2025,FAPL
A Madhuri,F,Raw,19.0,83.8,135.0,67.5,147.5,350.0,66.16,322.42,Yes,2026,PI
A Malek Eriddir,M,Raw,,51.71,100.0,77.5,147.5,325.0,57.73,312.94,Yes,2026,FAPL
A N Boudeghzdam,M,Raw,,65.97,170.0,125.0,185.0,480.0,74.84,376.22,Yes,2025,FAPL
A Phi Le,M,Raw,20.0,57.6,210.0,135.0,212.5,557.5,93.45,486.94,Yes,2026,AMP
A Pradeep,M,Raw,17.0,80.7,150.0,97.5,170.0,417.5,58.62,286.42,Yes,2019,PI
A Rafidah,F,Raw,,72.4,105.0,55.0,132.5,292.5,59.06,290.33,Yes,2026,MAP
A Rahime Azoun I,M,Raw,,92.53,245.0,160.5,300.0,705.5,92.52,449.97,Yes,2025,FAPL
A Rajasekhar,M,Raw,48.0,80.25,190.0,90.0,200.0,480.0,67.59,330.38,Yes,2018,PI
A Ramesh,M,Raw,18.0,69.0,117.5,90.0,165.0,372.5,56.72,282.63,Yes,2019,PI
A V Anjana,F,Raw,23.0,110.72,160.0,70.0,142.5,372.5,64.83,306.39,Yes,2022,AsianPF
A V V Satyanarayana,M,Raw,18.5,100.3,165.0,100.0,187.5,452.5,57.08,278.16,Yes,2024,PI
A'Dren Hye,M,Raw,23.5,104.1,287.5,195.0,275.0,757.5,93.9,458.44,Yes,2017,USAPL
A-H Yassin El Idrissi,M,Raw,,48.98,80.0,50.0,130.0,260.0,47.55,264.0,Yes,2024,FMPB
A-Yun Lin,F,Raw,70.5,54.6,80.0,52.5,120.0,252.5,61.23,297.67,Yes,2016,IPF
A. Abdullaeva,F,Raw,23.5,71.05,145.0,75.0,170.0,390.0,79.52,391.13,Yes,2017,KPF
A. Abseitov,M,Raw,56.5,92.45,155.0,120.0,210.0,485.0,63.63,309.47,Yes,2016,KPF
A. Abylkasova,F,Raw,14.5,90.6,120.0,55.0,120.0,295.0,54.2,262.23,Yes,2016,KPF
A. Agafonova,F,Raw,15.5,46.2,80.0,50.0,95.0,225.0,63.45,298.66,Yes,2016,KPF
A. Ajith Kumar,M,Raw,20.0,64.0,125.0,72.5,155.0,352.5,55.85,282.67,Yes,2018,PI
A. Akhmediev,M,Raw,21.5,72.6,192.5,130.0,227.5,550.0,81.55,403.03,Yes,2016,KPF
A. Alshabaev,M,Raw,19.5,72.8,155.0,112.5,165.0,432.5,64.04,316.35,Yes,2016,KPF
A. Arocha,M,Raw,,,217.27,122.47,229.52,569.26,,,Yes,2011,USAPL
A. Aroquiadase,M,Raw,56.0,62.5,115.0,72.5,170.0,357.5,57.36,292.01,Yes,2018,PI
A. Arzieva,F,Raw,11.5,50.65,80.0,35.0,85.0,200.0,51.68,248.32,Yes,2017,KPF
