sex,equipment,bw_bin,n,p5,p10,p25,p50,p75,p90,p95,p99
F,Raw,40,1019,95.0,112.5,140.0,175.0,212.5,250.0,270.0,307.0
F,Raw,45,3038,145.0,164.4,192.6,230.0,270.0,305.0,327.5,370.0
F,Raw,50,6759,165.0,185.0,217.5,255.0,295.0,335.0,357.5,397.5
F,Raw,55,9905,185.0,204.1,237.5,277.5,317.5,355.0,379.9,426.0
F,Raw,60,12391,197.5,220.0,255.0,295.0,337.5,377.5,402.5,447.6
F,Raw,65,10355,207.5,230.0,267.5,310.0,352.5,395.0,420.0,472.7
F,Raw,70,7920,217.5,240.0,275.0,317.5,360.0,403.0,430.0,482.5
F,Raw,75,4468,217.5,240.0,277.5,320.0,372.5,420.0,455.0,510.2
F,Raw,80,5278,225.0,249.3,287.5,335.0,385.0,430.5,460.0,522.5
F,Raw,85,1496,207.5,230.0,272.4,315.0,360.0,407.5,440.0,500.1
F,Raw,90,1537,217.5,244.0,282.5,327.5,375.0,418.8,447.5,509.1
F,Raw,95,1254,224.1,248.3,292.5,339.2,392.5,435.0,465.0,518.7
F,Raw,100,955,222.5,252.5,295.0,345.0,400.0,442.5,470.0,519.8
F,Raw,105,736,231.2,257.5,302.5,352.5,407.5,457.5,487.5,556.5
F,Raw,110,533,237.5,265.0,302.5,352.5,412.5,462.5,495.0,539.3
F,Raw,115,420,242.4,257.5,304.4,360.0,417.5,480.0,517.5,578.3
F,Raw,120,290,257.2,279.8,327.5,381.8,431.9,482.8,510.3,580.0
F,Raw,125,212,253.9,275.0,322.5,391.2,455.6,505.0,547.2,619.8
F,Raw,130,144,247.9,270.8,329.4,386.2,448.1,510.3,544.2,664.3
F,Raw,135,88,244.4,272.8,331.9,388.8,452.5,510.8,538.0,664.4
F,Raw,140,73,280.0,295.0,332.5,387.5,475.0,525.0,550.5,611.6
F,Raw,145,46,222.5,255.0,327.5,368.5,496.2,610.0,646.2,683.7
