year,sex,n,lifters,median_total,median_gl
2008,F,120,93,266.2,58.99
2009,F,197,156,265.0,58.5
2010,F,306,256,270.0,59.23
2011,F,893,713,272.5,60.05
2012,F,1320,969,267.5,59.01
2013,F,2823,2010,270.0,59.89
2014,F,5273,3644,277.5,60.91
2015,F,9087,5772,287.5,62.42
2016,F,12948,8038,292.5,63.56
2017,F,16696,10397,295.0,63.45
2018,F,19095,11994,295.0,64.01
2019,F,21002,13058,300.0,64.99
2020,F,7194,5668,302.5,65.15
2021,F,12105,8158,312.5,67.3
2022,F,13846,8608,317.5,68.47
2023,F,18024,11509,320.0,68.93
2024,F,20839,13378,330.0,70.77
2025,F,22414,14333,335.0,71.72
2026,F,12184,9664,340.0,72.32
2002,M,69,68,487.5,72.65
2003,M,101,95,505.0,72.04
2004,M,109,103,498.9,67.67
2005,M,236,206,507.5,70.31
2006,M,228,190,523.8,69.07
2007,M,305,252,515.0,67.01
2008,M,844,666,535.0,70.87
2009,M,1054,856,507.5,68.91
2010,M,1485,1262,515.0,69.15
2011,M,3776,3016,515.0,69.69
2012,M,5047,3997,517.5,69.67
2013,M,8430,6556,515.0,70.15
2014,M,13978,10375,515.0,70.02
2015,M,20579,14575,527.5,71.5
2016,M,26615,18153,528.0,71.83
2017,M,31672,21128,527.5,72.08
2018,M,36807,25108,527.5,71.95
2019,M,40354,27409,530.0,72.34
2020,M,14340,11667,532.5,72.19
2021,M,24695,17576,545.0,73.91
2022,M,27419,18639,542.5,74.01
2023,M,35714,24703,545.0,74.4
2024,M,41272,28687,552.5,75.6
2025,M,44057,30483,562.5,76.69
2026,M,24266,19959,565.0,76.9
