category,median,count
Vegetables and Vegetable Products,123.7,814
Legumes and Legume Products,58.7,290
Breakfast Cereals,56.3,195
Finfish and Shellfish Products,51.5,264
Baby Foods,32.5,344
Poultry Products,31.8,383
Beef Products,31.2,954
Cereal Grains and Pasta,29.7,181
"Lamb, Veal, and Game Products",28.6,464
Nut and Seed Products,27.1,137
Fruits and Fruit Juices,25.7,355
Pork Products,18.6,336
Snacks,13.6,176
Beverages,11.9,334
"Meals, Entrees, and Side Dishes",11.6,81
Dairy and Egg Products,11.0,291
Fast Foods,8.8,312
Restaurant Foods,6.8,109
Baked Products,4.1,516
Sausages and Luncheon Meats,-8.0,167
"Soups, Sauces, and Gravies",-8.6,254
Fats and Oils,-14.2,216
Sweets,-19.1,357
