category,median,count
Finfish and Shellfish Products,16.88,264
Beef Products,13.65,954
Poultry Products,13.64,383
"Lamb, Veal, and Game Products",13.09,464
Pork Products,12.97,336
Legumes and Legume Products,6.63,290
Dairy and Egg Products,6.26,291
Sausages and Luncheon Meats,5.48,167
Vegetables and Vegetable Products,5.12,814
Fast Foods,4.61,312
Restaurant Foods,4.4,109
"Meals, Entrees, and Side Dishes",3.76,81
"Soups, Sauces, and Gravies",3.68,254
Cereal Grains and Pasta,3.05,181
Nut and Seed Products,2.91,137
Breakfast Cereals,2.47,195
Baby Foods,2.3,344
Baked Products,1.81,516
Snacks,1.8,176
Sweets,1.06,357
Fruits and Fruit Juices,0.99,355
Beverages,0.13,334
Fats and Oils,0.0,216
