category,median,count
"Soups, Sauces, and Gravies",726.0,254
Sausages and Luncheon Meats,373.0,167
"Meals, Entrees, and Side Dishes",251.0,81
Restaurant Foods,227.0,109
Fast Foods,221.0,312
Baked Products,133.0,516
Breakfast Cereals,107.0,195
Dairy and Egg Products,99.0,291
Vegetables and Vegetable Products,99.0,814
Snacks,79.0,176
Finfish and Shellfish Products,77.0,264
Legumes and Legume Products,60.0,290
Poultry Products,53.0,383
Pork Products,47.0,336
"Lamb, Veal, and Game Products",37.0,464
Beverages,36.0,334
Sweets,35.0,357
Beef Products,31.0,954
Baby Foods,30.0,344
Nut and Seed Products,6.0,137
Fruits and Fruit Juices,5.0,355
Fats and Oils,4.0,216
Cereal Grains and Pasta,2.0,181
