description,category,sugar_100kcal
"Jams and preserves, no sugar (with sodium saccharin), any flavor",Sweets,28.643939393939394
"Beverages, The COCA-COLA company, Hi-C Flashin' Fruit Punch",Beverages,27.77777777777778
"Sweeteners, tabletop, fructose, liquid",Sweets,27.240143369175627
"Syrup, Cane",Sweets,27.21189591078067
"Beverages, fruit punch juice drink, frozen concentrate, prepared with water",Beverages,27.142857142857142
"Syrups, corn, dark",Sweets,27.12937062937063
"Syrups, corn, light",Sweets,27.127208480565372
Honey,Sweets,27.013157894736846
"Syrups, corn, high-fructose",Sweets,26.921708185053383
"Beverages, OCEAN SPRAY, Cran Cherry",Beverages,26.52173913043478
"Beverages, Energy drink, VAULT, citrus flavor",Beverages,26.510204081632654
"Toppings, butterscotch or caramel",Sweets,26.38888888888889
"Beverages, yellow green colored citrus soft drink with caffeine",Beverages,26.3265306122449
"Cranberry juice, unsweetened",Fruits and Fruit Juices,26.304347826086953
"Passion-fruit juice, purple, raw",Fruits and Fruit Juices,26.274509803921568
