description,category,leu_100kcal_mg,kcal_per_3g_leu
"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, cooked, roasted",Beef Products,2144.6666666666665,139.881877525645
"Soy protein isolate, potassium type",Legumes and Legume Products,2113.0841121495328,141.97257850508626
"Fish, haddock, cooked, dry heat",Finfish and Shellfish Products,2091.1111111111113,143.4643995749203
"Egg, white, dried, stabilized, glucose reduced",Dairy and Egg Products,2061.064425770308,145.55585756999184
"Egg substitute, liquid or frozen, fat free",Dairy and Egg Products,2025.0000000000002,148.14814814814815
Soy protein isolate,Legumes and Legume Products,2024.776119402985,148.16452896948255
"Seaweed, spirulina, raw",Vegetables and Vegetable Products,1957.6923076923078,153.2416502946955
"Beef, loin, top sirloin petite roast/filet, boneless, separable lean only, trimmed to 0"" fat, select, raw",Beef Products,1942.6229508196723,154.43037974683546
"Game meat, moose, cooked, roasted","Lamb, Veal, and Game Products",1922.3880597014927,156.055900621118
"Fish, halibut, Atlantic and Pacific, raw",Finfish and Shellfish Products,1859.3406593406594,161.34751773049643
"Beef, New Zealand, imported, chuck eye roll, separable lean only, raw",Beef Products,1847.3282442748093,162.39669421487605
"Beef, ribeye  petite roast/filet, boneless, separable lean only, trimmed to 0"" fat, select, raw",Beef Products,1799.2,166.74077367718985
"Turkey, retail parts, breast, meat only, cooked, roasted",Poultry Products,1795.5882352941178,167.07616707616705
"Fish, tuna, light, canned in water, without salt, drained solids",Finfish and Shellfish Products,1787.0689655172412,167.8726483357453
"Fish, ling, cooked, dry heat",Finfish and Shellfish Products,1782.882882882883,168.26680141485596
"Chicken, broilers or fryers, rotisserie, original seasoning, breast, meat only, cooked",Poultry Products,1782.4817518248176,168.30466830466827
"Beef, ribeye petite roast, boneless, separable lean only, trimmed to 0"" fat, select, cooked, roasted",Beef Products,1778.6585365853657,168.66643812135757
"Fish, pike, northern, raw",Finfish and Shellfish Products,1778.409090909091,168.69009584664536
"Fish, cusk, raw",Finfish and Shellfish Products,1774.7126436781607,169.04145077720207
"Fish, sunfish, pumpkin seed, cooked, dry heat",Finfish and Shellfish Products,1773.6842105263154,169.13946587537095
