description,category,nrf_score
"Spinach, raw",Vegetables and Vegetable Products,571.0441941497526
"Spinach, cooked, boiled, drained, without salt",Vegetables and Vegetable Products,557.4169144592464
"Vinespinach, (basella), raw",Vegetables and Vegetable Products,531.2371478757378
"Mustard spinach, (tendergreen), raw",Vegetables and Vegetable Products,527.5971596242179
"Parsley, fresh",Vegetables and Vegetable Products,526.8965463448966
"Amaranth leaves, raw",Vegetables and Vegetable Products,519.9575892496497
"Water convolvulus,raw",Vegetables and Vegetable Products,519.8993210510325
"Amaranth leaves, cooked, boiled, drained, without salt",Vegetables and Vegetable Products,519.6067407916225
"Mustard spinach, (tendergreen), cooked, boiled, drained, without salt",Vegetables and Vegetable Products,514.1434283929658
"Spinach, cooked, boiled, drained, with salt",Vegetables and Vegetable Products,512.8044380887361
"Jute, potherb, raw",Vegetables and Vegetable Products,511.6977044286726
"Cabbage, chinese (pak-choi), cooked, boiled, drained, without salt",Vegetables and Vegetable Products,509.5204689484292
"Beet greens, raw",Vegetables and Vegetable Products,502.70640527116007
"Mustard greens, frozen, unprepared",Vegetables and Vegetable Products,493.56519079132397
"Dock, raw",Vegetables and Vegetable Products,492.95023123654016
"Chicory greens, raw",Vegetables and Vegetable Products,485.8066417152811
"Turnip greens, cooked, boiled, drained, without salt",Vegetables and Vegetable Products,483.6714029597702
"Cabbage, chinese (pak-choi), raw",Vegetables and Vegetable Products,481.9786214441804
"Dock, cooked, boiled, drained, without salt",Vegetables and Vegetable Products,477.2851627455698
"Spinach, canned, regular pack, drained solids",Vegetables and Vegetable Products,473.38811404445084
"Spinach, canned, no salt added, solids and liquids",Vegetables and Vegetable Products,472.3453516259398
"Amaranth leaves, cooked, boiled, drained, with salt",Vegetables and Vegetable Products,470.74545714773024
"Turnip greens, frozen, unprepared",Vegetables and Vegetable Products,469.5050423160969
"Chrysanthemum, garland, cooked, boiled, drained, without salt",Vegetables and Vegetable Products,467.9653039683105
"Chard, swiss, cooked, boiled, drained, without salt",Vegetables and Vegetable Products,460.82668192635816
