description,category,kcal,protein_g,prot_100kcal
"Soy protein isolate, potassium type",Legumes and Legume Products,321.0,88.32,27.51401869158878
Soy protein isolate,Legumes and Legume Products,335.0,88.32,26.364179104477607
"Gelatins, dry powder, unsweetened",Sweets,335.0,85.6,25.552238805970145
"Fish, cod, Pacific, cooked",Finfish and Shellfish Products,84.0,20.42,24.30952380952381
"Crustaceans, shrimp, cooked",Finfish and Shellfish Products,99.0,23.98,24.222222222222225
"Crustaceans, shrimp, raw",Finfish and Shellfish Products,85.0,20.1,23.647058823529413
"Egg, white, dried, stabilized, glucose reduced",Dairy and Egg Products,357.0,84.08,23.551820728291318
"Ruffed Grouse, breast meat, skinless, raw",Poultry Products,112.0,25.94,23.16071428571429
"Seaweed, spirulina, raw",Vegetables and Vegetable Products,26.0,5.92,22.76923076923077
"Fish, tuna, light, canned in water, drained solids (Includes foods for USDA's Food Distribution Program)",Finfish and Shellfish Products,86.0,19.44,22.6046511627907
"Fish, pollock, Alaska, raw",Finfish and Shellfish Products,76.0,17.17,22.592105263157897
"Cheese, mozzarella, nonfat",Dairy and Egg Products,141.0,31.7,22.4822695035461
"Frog legs, raw",Finfish and Shellfish Products,73.0,16.4,22.46575342465753
"Fish, tuna, yellowfin, fresh, cooked, dry heat",Finfish and Shellfish Products,130.0,29.15,22.423076923076923
"Fish, pollock, Alaska, cooked",Finfish and Shellfish Products,86.6164,19.42,22.42069631155301
"Emu, outside drum, raw",Poultry Products,103.0,23.08,22.40776699029126
"Fish, tuna, fresh, yellowfin, raw",Finfish and Shellfish Products,109.0,24.4,22.38532110091743
"Cheese, Swiss, nonfat or fat free",Dairy and Egg Products,127.0,28.4,22.362204724409448
"Turtle, green, raw",Finfish and Shellfish Products,89.0,19.8,22.24719101123596
"Fish, haddock, cooked, dry heat",Finfish and Shellfish Products,90.0,19.99,22.21111111111111
"Beverages, Protein powder whey based",Beverages,352.0,78.13,22.196022727272727
"Fish, cod, Pacific, raw (may have been previously frozen)",Finfish and Shellfish Products,69.0,15.27,22.130434782608695
"Fish, haddock, raw",Finfish and Shellfish Products,74.0,16.32,22.054054054054053
"Fish, cod, Pacific, cooked, dry heat (may contain additives to retain moisture)",Finfish and Shellfish Products,85.0,18.73,22.03529411764706
"Turkey, breast, smoked, lemon pepper flavor, 97% fat-free",Sausages and Luncheon Meats,95.0,20.9,21.999999999999996
