pos,age,metric,factor
F,20,P60,0.869
F,21,P60,0.869
F,22,P60,0.9322
F,23,P60,1.0
F,24,P60,0.9983
F,25,P60,0.9967
F,26,P60,0.9774
F,27,P60,0.9585
F,28,P60,0.9243
F,29,P60,0.8913
F,30,P60,0.8581
F,31,P60,0.8261
F,32,P60,0.775
F,33,P60,0.727
F,34,P60,0.6826
F,35,P60,0.6408
F,36,P60,0.5939
F,37,P60,0.5504
F,38,P60,0.5152
F,20,xG60,0.9421
F,21,xG60,0.9421
F,22,xG60,0.962
F,23,xG60,0.9824
F,24,xG60,0.9912
F,25,xG60,1.0
F,26,xG60,0.9876
F,27,xG60,0.9754
F,28,xG60,0.9474
F,29,xG60,0.9202
F,30,xG60,0.8967
F,31,xG60,0.8739
F,32,xG60,0.8462
F,33,xG60,0.8195
F,34,xG60,0.7873
F,35,xG60,0.7565
F,36,xG60,0.7135
F,37,xG60,0.6729
F,38,xG60,0.6311
D,22,P60,0.9651
D,23,P60,0.9651
D,24,P60,0.9703
D,25,P60,0.9756
D,26,P60,0.9783
D,27,P60,0.981
D,28,P60,0.9905
D,29,P60,1.0
D,30,P60,0.9916
D,31,P60,0.9834
D,32,P60,0.9593
D,33,P60,0.9358
D,34,P60,0.9007
D,35,P60,0.8668
D,36,P60,0.8258
D,37,P60,0.7868
D,38,P60,0.7496
D,22,xG60,0.9943
D,23,xG60,0.9943
D,24,xG60,0.9966
D,25,xG60,0.9988
D,26,xG60,0.9994
D,27,xG60,1.0
D,28,xG60,0.996
D,29,xG60,0.992
D,30,xG60,0.9705
D,31,xG60,0.9494
D,32,xG60,0.9117
D,33,xG60,0.8755
D,34,xG60,0.8407
D,35,xG60,0.8074
D,36,xG60,0.7664
D,37,xG60,0.7275
D,38,xG60,0.6906
D,19,P60,0.9651
D,20,P60,0.9651
D,21,P60,0.9651
D,39,P60,0.7496
D,19,xG60,0.9943
D,20,xG60,0.9943
D,21,xG60,0.9943
D,39,xG60,0.6906
F,19,P60,0.869
F,39,P60,0.5152
F,19,xG60,0.9421
F,39,xG60,0.6311
