lineId,season,name,team,position,situation,games_played,icetime,iceTimeRank,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst,season_label,xGF60,xGA60,SOGF60,HDF60,HITS60,TK60,GV60,FINISH,FOshare,NETPEN60,xGshare,corsi,cluster
847793384801858482113,2023,Luostarinen-Lundell-Reinhart,FLA,line,5on5,24,7819.0,172.0,0.6,0.58,0.58,72.48,5.84,4.77,19.32,2.8,39.84,28.43,5.61,5.76,5.55,60.0,41.0,48.0,149.0,4.0,9.0,1.0,16.0,0.0,39.0,33.0,56.0,97.0,11.0,22.0,80.0,48.0,18.0,24.0,79.0,17.0,5.0,2.34,2.24,1.25,0.0,4.0,0.0,146.89,101.0,100.28,14.0,1.0,1.6,1.6,5.24,5.21,5.07,53.41,3.93,3.35,13.63,1.81,29.21,22.08,3.83,4.0,3.9,49.0,25.0,33.0,107.0,4.0,2.0,1.0,14.0,0.0,22.0,32.0,45.0,70.0,10.0,20.0,67.0,81.0,10.0,21.0,60.0,12.0,2.0,1.65,1.54,0.73,2.0,1.0,1.0,107.37,74.0,74.65,13.0,0.7,0.63,0.63,3.99,4.05,4.01,2023,2.6888348893720426,1.809438547128789,27.62501598669907,2.302084665558256,22.100012789359255,8.28750479600972,11.050006394679627,0.684931506849315,0.54421768707483,0.46041693311165116,0.6,0.58,2
847515184757548478115,2023,Engvall-Nelson-Palmieri,NYI,line,5on5,55,33812.0,100.0,0.55,0.5,0.51,328.92,31.26,21.88,84.8,11.62,172.85,126.59,29.38,31.64,29.72,325.0,124.0,165.0,614.0,23.0,46.0,6.0,62.0,1.0,155.0,162.0,302.0,426.0,32.0,64.0,266.0,149.0,44.0,90.0,325.0,85.0,39.0,9.27,10.75,11.25,9.0,8.0,6.0,617.99,449.0,453.28,40.0,4.59,10.2,10.18,25.67,25.79,25.21,313.64,25.26,19.7,80.81,10.5,166.92,124.8,24.48,25.02,24.26,288.0,140.0,178.0,606.0,18.0,38.0,3.0,53.0,1.0,150.0,168.0,270.0,410.0,31.0,62.0,310.0,201.0,52.0,95.0,337.0,61.0,30.0,8.96,7.41,8.88,6.0,9.0,3.0,600.26,428.0,423.93,51.0,4.07,7.96,7.96,21.37,21.24,20.97,2023,3.3282858156867388,2.689459363539572,34.60309949130487,4.152371938956584,15.864190228321307,4.6847273157458895,9.582396782207502,0.7357645553422905,0.4618055555555556,0.10647107535786113,0.55,0.5,0
847351284784728482116,2023,Sttzle-Giroux-Joseph,OTT,line,5on5,38,18311.0,158.0,0.54,0.54,0.54,166.85,12.9,10.06,43.18,5.42,89.34,67.1,12.38,12.98,12.46,155.0,73.0,108.0,336.0,17.0,15.0,2.0,32.0,1.0,94.0,69.0,138.0,211.0,9.0,18.0,159.0,96.0,39.0,55.0,178.0,36.0,14.0,4.59,4.52,3.79,9.0,7.0,1.0,333.92,228.0,227.47,37.0,2.08,2.69,2.69,12.29,12.38,12.2,141.23,11.0,8.67,35.55,4.76,75.73,59.29,10.48,11.08,10.58,137.0,58.0,87.0,282.0,20.0,13.0,1.0,18.0,1.0,63.0,80.0,117.0,175.0,27.0,54.0,137.0,117.0,44.0,56.0,150.0,35.0,10.0,4.07,4.32,2.61,11.0,8.0,1.0,285.92,195.0,198.11,33.0,1.8,2.57,2.57,10.24,10.39,10.19,2023,2.5361804379880946,2.162634482005352,30.473485882802684,2.7524438861886296,18.87390093386489,7.667522254382611,10.813172410026759,1.317829457364341,0.5371621621621622,-3.5388564250996666,0.54,0.54,2
847790384800688480220,2023,Cates-Poehling-Hathaway,PHI,line,5on5,35,9608.0,238.0,0.67,0.58,0.65,104.31,9.17,7.75,27.88,3.79,55.84,39.57,8.65,9.3,8.76,104.0,40.0,62.0,206.0,7.0,20.0,3.0,23.0,0.0,51.0,43.0,97.0,137.0,5.0,10.0,101.0,113.0,13.0,12.0,108.0,25.0,11.0,2.96,3.1,3.12,3.0,2.0,2.0,205.05,144.0,144.33,7.0,1.62,3.7,3.7,7.08,7.1,6.91,57.08,4.54,3.5,14.6,1.76,31.07,23.54,4.49,4.58,4.53,48.0,31.0,68.0,147.0,7.0,3.0,0.0,10.0,0.0,33.0,26.0,41.0,72.0,9.0,18.0,103.0,90.0,10.0,23.0,62.0,14.0,3.0,1.72,1.86,0.96,6.0,1.0,0.0,148.26,79.0,79.26,16.0,0.72,0.71,0.71,4.55,4.6,4.56,2023,3.4358867610324726,1.701082431307244,38.96752706078268,4.121565362198168,42.33971690258118,4.870940882597835,4.496253122398001,0.7633587786259542,0.4950980392156863,-1.4987510407993339,0.67,0.58,0
847854284801858482113,2023,Luostarinen-Lundell-Rodrigues,FLA,line,5on5,40,13351.0,204.0,0.66,0.62,0.6,141.45,11.3,8.74,37.69,4.99,74.21,56.06,10.71,11.74,11.11,138.0,55.0,83.0,276.0,10.0,20.0,3.0,33.0,0.0,74.0,56.0,128.0,183.0,16.0,37.0,126.0,111.0,21.0,31.0,157.0,24.0,12.0,4.4,3.31,3.59,5.0,3.0,2.0,289.13,193.0,201.15,20.0,1.83,4.27,4.27,8.85,9.13,8.87,90.06,5.85,5.25,24.13,3.19,49.92,38.66,5.79,5.75,5.7,78.0,49.0,45.0,172.0,2.0,7.0,0.0,14.0,0.0,47.0,57.0,76.0,125.0,15.0,33.0,91.0,120.0,24.0,33.0,105.0,16.0,6.0,2.66,1.76,1.43,2.0,0.0,0.0,165.75,127.0,123.39,18.0,1.09,0.9,0.9,6.03,5.92,5.87,2023,3.0469627743240206,1.5774099318403114,37.21069582802786,3.2357126806980747,29.930342296457194,5.662497191221631,8.358924425136694,0.8849557522123893,0.5806451612903226,0.26964272339150624,0.66,0.62,0
847692784780578478856,2023,Joshua-Blueger-Garland,VAN,line,5on5,43,21632.0,127.0,0.58,0.55,0.55,187.42,17.38,12.94,45.19,6.23,100.26,73.01,16.73,17.56,16.94,175.0,80.0,89.0,344.0,21.0,17.0,2.0,38.0,0.0,89.0,90.0,154.0,234.0,34.0,77.0,221.0,224.0,48.0,38.0,185.0,51.0,19.0,5.47,6.72,5.19,9.0,8.0,4.0,352.2,255.0,261.24,23.0,2.69,3.9,3.9,16.17,16.48,16.25,149.48,12.35,9.65,39.89,5.08,79.35,59.68,12.1,12.17,11.92,147.0,59.0,80.0,286.0,10.0,13.0,1.0,24.0,0.0,78.0,81.0,137.0,196.0,32.0,73.0,193.0,174.0,30.0,37.0,163.0,28.0,15.0,4.62,3.4,4.32,4.0,3.0,3.0,279.61,206.0,201.49,17.0,2.02,2.65,2.65,11.71,11.44,11.28,2023,2.8923816568047336,2.0552884615384617,29.123520710059175,3.1619822485207103,37.278106508875744,7.988165680473373,6.323964497041421,1.2082853855005755,0.533816425120773,0.33284023668639057,0.58,0.55,2
847591384769058481032,2023,Cotter-Stephenson-Stone,VGK,line,5on5,26,7712.0,145.0,0.39,0.41,0.39,54.6,4.65,3.57,14.02,1.83,29.95,21.97,4.56,4.71,4.62,54.0,22.0,35.0,111.0,3.0,6.0,0.0,15.0,0.0,25.0,27.0,51.0,73.0,4.0,11.0,63.0,59.0,24.0,11.0,56.0,15.0,5.0,1.65,1.72,1.28,2.0,1.0,0.0,113.4,76.0,76.68,3.0,0.74,0.99,0.86,4.54,4.6,4.52,86.69,7.42,5.68,22.15,3.07,45.97,33.72,7.19,7.47,7.25,81.0,37.0,43.0,161.0,6.0,10.0,0.0,19.0,0.0,45.0,38.0,75.0,112.0,3.0,6.0,63.0,55.0,9.0,20.0,89.0,21.0,8.0,2.7,2.5,2.21,6.0,0.0,0.0,159.83,118.0,117.92,11.0,1.19,1.91,1.91,6.69,6.75,6.64,2023,2.1706431535269712,3.4636929460580914,25.20746887966805,2.3340248962655603,27.54149377593361,11.203319502074688,5.134854771784232,0.6451612903225806,0.5,0.46680497925311204,0.39,0.41,1
847794684793378482078,2023,Raymond-Larkin-Debrincat,DET,line,5on5,47,18425.0,280.0,0.51,0.54,0.54,198.64,14.43,12.62,50.26,6.62,109.88,81.19,14.17,14.41,14.15,184.0,91.0,98.0,373.0,24.0,18.0,2.0,25.0,1.0,87.0,120.0,160.0,251.0,16.0,35.0,159.0,102.0,38.0,39.0,221.0,41.0,13.0,6.17,4.94,3.33,14.0,6.0,4.0,368.37,275.0,272.02,18.0,2.59,3.04,3.04,13.99,14.0,13.87,168.58,14.13,10.57,43.73,5.77,92.83,68.96,13.42,14.25,13.53,168.0,68.0,76.0,312.0,17.0,18.0,2.0,31.0,0.0,88.0,82.0,151.0,219.0,29.0,64.0,145.0,114.0,34.0,42.0,184.0,38.0,14.0,5.08,4.49,4.57,9.0,6.0,2.0,315.51,236.0,237.28,25.0,2.18,4.25,4.25,12.07,12.21,11.97,2023,2.8194301221166893,2.760814111261873,35.95115332428765,2.5400271370420624,19.929443690637722,7.424694708276798,7.620081411126187,1.6632016632016633,0.5230263157894737,-2.5400271370420624,0.51,0.54,2
847747684774928478420,2023,Lehkonen-Mackinnon-Rantanen,COL,line,5on5,34,9645.0,229.0,0.57,0.58,0.57,96.15,7.97,6.4,22.73,3.12,52.86,38.92,7.78,7.96,7.78,99.0,33.0,53.0,185.0,13.0,7.0,1.0,26.0,2.0,48.0,36.0,86.0,119.0,14.0,28.0,82.0,29.0,15.0,21.0,92.0,37.0,3.0,2.73,4.47,0.77,5.0,7.0,1.0,187.61,132.0,133.09,9.0,1.32,0.85,0.85,8.44,8.45,8.29,72.73,6.06,4.47,18.96,2.5,37.89,28.12,5.88,6.1,5.91,58.0,40.0,34.0,132.0,5.0,7.0,0.0,10.0,0.0,30.0,46.0,53.0,93.0,9.0,20.0,110.0,46.0,16.0,11.0,76.0,15.0,7.0,1.93,2.1,2.03,2.0,3.0,0.0,131.9,98.0,98.79,5.0,0.93,1.37,1.37,5.63,5.64,5.59,2023,2.974805598755832,2.2618973561430793,36.951788491446344,1.119751166407465,10.824261275272162,5.598755832037325,7.838258164852255,1.631116687578419,0.4270833333333333,1.8662519440124417,0.57,0.58,2
847795184793438480849,2023,Schmaltz-Hayton-Keller,ARI,line,5on5,27,14665.0,65.0,0.56,0.54,0.53,127.09,11.29,8.87,30.62,4.24,69.19,50.8,10.78,11.33,10.83,119.0,56.0,66.0,241.0,8.0,13.0,1.0,25.0,0.0,73.0,56.0,111.0,167.0,22.0,44.0,116.0,44.0,19.0,39.0,130.0,33.0,12.0,4.1,4.14,3.05,2.0,3.0,3.0,242.7,175.0,175.87,19.0,1.86,2.26,2.26,10.88,10.97,10.62,112.11,9.02,6.75,28.41,3.79,60.1,45.93,8.74,9.05,8.76,116.0,38.0,53.0,207.0,14.0,12.0,3.0,27.0,1.0,45.0,55.0,102.0,140.0,19.0,38.0,137.0,106.0,28.0,29.0,124.0,19.0,11.0,3.38,2.23,3.41,6.0,3.0,5.0,207.2,154.0,154.77,15.0,1.4,2.47,2.39,8.04,8.01,7.87,2023,2.7714967609955674,2.214251619502216,29.212410501193318,2.9457892942379815,10.801227412205932,4.6641663825434705,9.57381520627344,0.70859167404783,0.45849802371541504,0.7364473235594954,0.56,0.54,2
