scenario,season,xGF60,xGA60,xGshare,GSAA60,p_final,cap_hit,cap_max,space,pts
A,2026-27,2.85,2.47,0.536,0.024,0.106,95.6,104.0,8.4,94.4
A,2027-28,2.9,2.47,0.541,0.024,0.125,94.7,113.5,18.8,95.8
A,2028-29,2.92,2.47,0.542,0.02,0.125,104.5,121.5,17.0,96.2
A,2029-30,2.86,2.47,0.537,0.015,0.098,103.0,130.0,27.0,94.4
A,2030-31,2.77,2.47,0.529,0.01,0.067,86.1,139.0,52.9,91.7
B,2026-27,2.85,2.47,0.536,0.024,0.106,95.6,104.0,8.4,94.4
B,2027-28,2.9,2.47,0.541,0.024,0.125,94.7,113.5,18.8,95.8
B,2028-29,2.88,2.47,0.539,0.02,0.05,98.5,121.5,23.0,95.1
B,2029-30,2.82,2.47,0.534,0.015,0.049,97.0,130.0,33.0,93.3
B,2030-31,2.71,2.47,0.523,0.01,0.027,80.1,139.0,58.9,89.9
