player,pos,age_2627,aav_m,uFA_year,notes
Leon Draisaitl,C,31,14.0,2033,"8yr x $14M signed Sep 2024"
Connor McDavid,C,30,12.5,2028,"2yr x $12.5M extension (massive discount); UFA summer 2028"
Evan Bouchard,D,27,10.5,2029,
Darnell Nurse,D,31,9.25,2030,
Jake Walman,D,30,7.0,2033,"extended 2025-26"
Zach Hyman,F,34,5.5,2028,
Tristan Jarry,G,31,5.375,2028,"acquired 2025-26"
Ryan Nugent-Hopkins,F,33,5.125,2029,
Mattias Ekholm,D,36,4.0,2029,"extended 2025-26"
Trent Frederic,F,28,3.85,2033,
Vasily Podkolzin,F,25,2.95,2029,
Mattias Janmark,F,34,1.45,2027,
Ty Emberson,D,26,1.3,2027,
Isaac Howard,F,22,0.9725,2028,RFA 2028
Matthew Savoie,F,23,0.8867,2027,RFA 2027
Josh Samanski,F,24,0.975,2027,RFA 2027
Connor Clattenburg,F,21,0.9283,2028,RFA 2028
Jack Campbell (buyout),G,35,2.6,2028,"dead money; ~$2.6M 26-27, ~$1.5M 27-28 (est.)"
