work,section,n,tao_affinity,dhammapada_affinity
"Essays, First Series",Art,159,0.0118,0.0119
"Essays, First Series",Circles,225,0.0124,0.0156
"Essays, First Series",Compensation,349,0.013,0.0174
"Essays, First Series",Friendship,303,0.011,0.0141
"Essays, First Series",Heroism,175,0.0125,0.0173
"Essays, First Series",History,337,0.0123,0.0158
"Essays, First Series",Intellect,229,0.0127,0.0165
"Essays, First Series",Love,151,0.012,0.0161
"Essays, First Series",Prudence,195,0.0126,0.0177
"Essays, First Series",Self-Reliance,469,0.0131,0.0169
"Essays, First Series",Spiritual Laws,383,0.0129,0.0176
"Essays, First Series",The Over-Soul,292,0.0129,0.0161
Walden,Baker Farm,63,0.0099,0.0146
Walden,Brute Neighbors,165,0.0099,0.0103
Walden,Conclusion,217,0.0122,0.0157
Walden,Economy,811,0.0129,0.0158
Walden,Former Inhabitants and Winter Visitors,139,0.0103,0.013
Walden,Higher Laws,180,0.012,0.0162
Walden,House-Warming,151,0.0094,0.011
Walden,Reading,118,0.0125,0.0124
Walden,Solitude,117,0.0111,0.0139
Walden,Sounds,170,0.0105,0.013
Walden,Spring,207,0.0097,0.012
Walden,The Bean-Field,121,0.0098,0.0109
Walden,The Pond in Winter,133,0.0111,0.0109
Walden,The Ponds,232,0.01,0.0107
Walden,The Village,43,0.012,0.0128
Walden,Visitors,168,0.0127,0.0143
Walden,"Where I Lived, and What I Lived For",191,0.0125,0.0154
Walden,Winter Animals,88,0.0085,0.0106
