place_overall,first_name,last_name,nationality,club,time_full,gender,split_5k,split_10k,split_15k,split_20k,time_half,split_25k,split_30k,split_35k,split_40k,Race,year
1,Kenenisa,Bekele,ETH,,02:03:03,M,00:14:21,00:29:00,00:43:37,00:58:02,01:01:11,01:12:47,01:27:30,01:42:01,01:56:55,Berlin,2016
2,Wilson,Kipsang,KEN,Kenia,02:03:13,M,00:14:20,00:29:00,00:43:37,00:58:02,01:01:11,01:12:47,01:27:26,01:41:56,01:56:56,Berlin,2016
3,Evans,Chebet,KEN,,02:05:31,M,00:14:21,00:29:01,00:43:37,00:58:02,01:01:11,01:12:49,01:27:29,01:42:12,01:58:18,Berlin,2016
4,Sisay,Lemma,ETH,,02:06:56,M,00:14:20,00:29:00,00:43:38,00:58:02,01:01:11,01:12:47,01:27:34,01:43:45,01:59:53,Berlin,2016
5,Eliud,Kiptanui,KEN,Kenia,02:07:47,M,00:14:21,00:29:00,00:43:40,00:58:04,01:01:13,01:12:50,01:28:07,01:43:54,02:00:24,Berlin,2016
6,Geoffrey,Ronoh,KEN,Kenia,02:09:29,M,00:14:20,00:29:00,00:43:37,00:58:01,01:01:11,01:12:47,01:28:00,01:44:27,02:01:51,Berlin,2016
7,Alfers,Lagat,KEN,,02:09:46,M,00:14:21,00:29:00,00:43:37,00:58:02,01:01:11,01:12:48,01:27:26,01:43:04,02:01:20,Berlin,2016
8,Yohanes,Gebregergish,ERI,,02:09:48,M,00:15:05,00:30:18,00:45:36,01:00:58,01:04:21,01:16:37,01:32:09,01:47:37,02:03:09,Berlin,2016
9,Jacob,Kendagor,KEN,Kenia,02:10:01,M,00:14:20,00:29:00,00:43:37,00:58:02,01:01:11,01:12:51,01:28:12,01:44:28,02:01:58,Berlin,2016
10,Suleiman,Simotwo,KEN,,02:10:22,M,00:14:24,00:29:15,00:44:10,00:58:56,01:02:13,01:14:13,01:29:31,01:45:08,02:02:15,Berlin,2016
11,Mark,Kiptoo,KEN,,02:10:24,M,00:14:23,00:29:15,00:44:11,00:58:56,01:02:13,01:14:13,01:29:45,01:45:43,02:02:34,Berlin,2016
12,Emmanuel,Mutai,KEN,Kenia,02:10:29,M,00:14:21,00:29:01,00:43:39,00:58:04,01:01:15,01:13:09,01:28:56,01:45:14,02:02:46,Berlin,2016
13,Yuki,Kawauchi,JPN,,02:11:03,M,00:15:04,00:30:18,00:45:35,01:00:58,01:04:21,01:16:37,01:32:28,01:48:21,02:04:23,Berlin,2016
14,Mikael,Ekvall,SWE,,02:13:16,M,00:15:43,00:31:16,00:46:46,01:02:12,01:05:31,01:17:55,01:33:42,01:49:34,02:06:03,Berlin,2016
15,Jean,Habarurema,FRA,E2A,02:13:57,M,00:15:04,00:30:18,00:45:36,01:00:58,01:04:21,01:16:37,01:32:38,01:49:06,02:06:22,Berlin,2016
16,Steffen,Uliczka,DEU,,02:15:02,M,00:15:57,00:31:46,00:47:21,01:02:55,01:06:20,01:18:43,01:34:42,01:51:01,02:07:59,Berlin,2016
17,Malcolm,Richards,USA,West Valley Track Club,02:15:10,M,00:15:58,00:31:46,00:47:21,01:02:56,01:06:20,01:18:43,01:34:42,01:51:01,02:07:50,Berlin,2016
18,Chalachew,Tiruneh,ETH,helpAge,02:16:07,M,00:15:15,00:30:31,00:46:00,01:01:36,01:04:59,01:17:22,01:33:25,01:49:34,02:07:43,Berlin,2016
19,Ebrahim,Abdulaziz,NOR,Strindheim Il,02:16:49,M,00:15:53,00:31:42,00:47:17,01:02:52,01:06:15,01:18:58,01:35:44,01:52:33,02:09:46,Berlin,2016
20,Paul,Martelletti,NZL,Victoria Park Harriers/Tower H,02:16:58,M,00:16:15,00:32:50,00:49:00,01:05:10,01:08:42,01:21:33,01:37:56,01:53:57,02:10:11,Berlin,2016
21,Taye,Babeker,ETH,,02:17:56,M,00:15:34,00:31:15,00:46:46,01:02:24,01:05:54,01:18:40,01:35:02,01:52:38,02:10:28,Berlin,2016
22,Dennis,Laerte,BEL,Scott Sports Benelux,02:18:04,M,00:16:15,00:32:49,00:49:24,01:05:44,01:09:14,01:21:50,01:37:55,01:54:05,02:10:57,Berlin,2016
23,Nick,Arciniaga,USA,,02:18:18,M,00:15:44,00:31:16,00:46:46,01:02:12,01:05:43,01:18:28,01:35:13,01:52:39,02:10:34,Berlin,2016
24,Ignas,Brasevicius,LTU,Uno Parks,02:18:52,M,00:16:07,00:32:37,00:48:55,01:05:08,01:08:41,01:21:29,01:37:52,01:54:13,02:11:31,Berlin,2016
25,Mike,Teekens,NLD,,02:18:55,M,00:16:08,00:32:18,00:48:46,01:05:12,01:08:46,01:21:41,01:38:19,01:55:11,02:11:54,Berlin,2016
26,Meshak,Koech,KEN,,02:18:58,M,00:14:21,00:29:01,00:43:39,00:58:22,01:01:39,01:14:10,01:30:45,01:49:03,02:09:37,Berlin,2016
27,Olfert,Molenhuis,NLD,Groningen Atletiek,02:19:00,M,00:16:15,00:32:49,00:49:25,01:05:51,01:09:26,01:22:17,01:38:41,01:55:10,02:11:54,Berlin,2016
28,Stuart,Spencer,GBR,Notts AC,02:19:17,M,00:16:15,00:32:49,00:49:24,01:05:44,01:09:14,01:22:07,01:38:41,01:55:11,02:12:14,Berlin,2016
29,Vladimir,Bondarenko,RUS,,02:19:23,M,00:16:39,00:33:12,00:49:40,01:05:52,01:09:27,01:22:17,01:38:41,01:55:10,02:12:04,Berlin,2016
30,Geronimo,von Wartburg,DEU,LG Kreis Verden,02:19:25,M,00:16:30,00:33:00,00:49:24,01:05:51,01:09:27,01:22:16,01:38:41,01:55:10,02:12:04,Berlin,2016
31,Fabian,Kuert,CHE,LV Langenthal,02:20:12,M,00:16:31,00:33:01,00:49:26,01:05:52,01:09:27,01:22:18,01:38:55,01:55:31,02:12:45,Berlin,2016
32,Tesfamariam,Solomon,ERI,TV Länggasse Bern,02:20:21,M,00:15:34,00:31:16,00:46:47,01:02:58,01:06:30,01:19:47,01:37:03,01:54:41,02:12:37,Berlin,2016
33,Josh,Harris,AUS,University Of Tasmania,02:20:28,M,00:16:31,00:33:00,00:49:26,01:05:52,01:09:27,01:22:25,01:39:12,01:56:02,02:13:14,Berlin,2016
34,Aberu,Kebede,ETH,Äthiopien,02:20:45,W,00:16:40,00:33:12,00:49:40,01:05:52,01:09:27,01:22:17,01:38:42,01:55:33,02:13:02,Berlin,2016
