keyword,article,views_total,views_2026,views_growth,papers_total,papers_growth,trials,with_results,recruiting,z_attention,z_evidence,mispricing,papers_per_million_views,trials_per_million_views,segment,cluster
metformin,Metformin,5783056,37177.5,0.561,19127,0.855,56,18,13,1.4513346019032167,-0.6393354878256973,2.090670089728914,3307.420851535935,9.683461477806889,Grift zone,1
mouth tape,Mouth taping,69239,658.2,0.498,17,,0,0,0,-1.355748944952623,-2.7124051377929908,1.3566561928403678,245.52636519880417,0.0,Lab curiosities,0
sauna,Sauna,1498783,11705.9,0.745,450,0.831,69,5,23,0.6471858691824942,-0.5339943384067602,1.1811802075892546,300.24359763888435,46.03735163796227,Grift zone,1
NMN,Nicotinamide mononucleotide,955940,6064.1,0.562,1497,1.977,50,1,21,0.18951088763285973,-0.6963662977686146,0.8858771854014743,1565.997865974852,52.30453794171182,Grift zone,1
creatine,Creatine,3986639,39564.1,1.118,1457,1.201,2562,722,355,1.494630191646727,1.3121261418820673,0.18250404976465973,365.4707637185108,642.6466003066744,Validated blockbusters,3
zone 2,Aerobic exercise,1470870,6865.8,0.235,54,1.0,316,22,71,0.27591392124796327,0.24046478486868508,0.035449136379278184,36.71296579575353,214.83883687885404,Validated blockbusters,3
meditation,Meditation,3393478,22659.9,0.419,6257,0.848,2001,213,309,1.1068071878473777,1.1854609022497626,-0.07865371440238489,1843.8310193848317,589.660519384537,Validated blockbusters,3
keto,Ketogenic diet,4360224,9461.5,0.091,4153,1.037,837,85,143,0.4990626781819863,0.7389162561510368,-0.23985357796905055,952.4740013357113,191.96261476474604,Validated blockbusters,3
intermittent fasting,Intermittent fasting,5487520,7505.1,0.053,2669,2.052,731,52,176,0.33786691157765875,0.6695733471502325,-0.3317064355725738,486.37635944834824,133.2113595941336,Validated blockbusters,3
light therapy,Light therapy,684084,4166.2,0.48,377,1.821,522,63,147,-0.07170405003984658,0.4971876907444121,-0.5688917407842586,551.1019114611655,763.0641851000754,Sleepers,2
cold plunge,Ice bath,484015,2164.4,0.286,519,0.972,217,25,30,-0.5273988186898784,0.048488196375727814,-0.5758870150656061,1072.2808177432519,448.3332128136525,Lab curiosities,0
ashwagandha,Ashwagandha,83501,1032.1,0.696,1289,1.522,87,7,18,-1.0427197722308912,-0.4166560987887586,-0.6260636734421325,15436.94087495958,1041.9036897761703,Lab curiosities,0
red light therapy,Low-level laser therapy,306620,2518.0,0.743,6655,1.081,615,43,174,-0.4220993548224451,0.5811069777429195,-1.0032063325653646,21704.389798447588,2005.740003913639,Sleepers,2
magnesium,Magnesium in biology,290053,1810.9,0.389,510,0.923,396,22,65,-0.6514848750546639,0.3558509561929099,-1.0073358312475738,1758.2993452920673,1365.2677269326641,Sleepers,2
breathwork,Breathwork,289969,287.9,0.043,117,7.2,57,4,16,-1.931156433429941,-0.6304178927749361,-1.3007385406550047,403.4914077022027,196.5727370856885,Lab curiosities,0
