date,views,keyword,article
202001,13489,cold plunge,Ice bath
202002,11501,cold plunge,Ice bath
202003,9021,cold plunge,Ice bath
202004,9105,cold plunge,Ice bath
202005,8803,cold plunge,Ice bath
202006,6772,cold plunge,Ice bath
202007,7523,cold plunge,Ice bath
202008,9462,cold plunge,Ice bath
202009,8304,cold plunge,Ice bath
202010,7342,cold plunge,Ice bath
202011,6701,cold plunge,Ice bath
202012,7311,cold plunge,Ice bath
202101,7996,cold plunge,Ice bath
202102,6300,cold plunge,Ice bath
202103,6266,cold plunge,Ice bath
202104,4820,cold plunge,Ice bath
202105,4606,cold plunge,Ice bath
202106,5734,cold plunge,Ice bath
202107,5820,cold plunge,Ice bath
202108,5539,cold plunge,Ice bath
202109,4979,cold plunge,Ice bath
202110,5107,cold plunge,Ice bath
202111,4201,cold plunge,Ice bath
202112,5078,cold plunge,Ice bath
202201,7761,cold plunge,Ice bath
202202,5010,cold plunge,Ice bath
202203,4605,cold plunge,Ice bath
202204,6704,cold plunge,Ice bath
202205,4868,cold plunge,Ice bath
202206,4177,cold plunge,Ice bath
202207,5602,cold plunge,Ice bath
202208,6326,cold plunge,Ice bath
202209,6271,cold plunge,Ice bath
202210,5303,cold plunge,Ice bath
202211,5624,cold plunge,Ice bath
202212,6673,cold plunge,Ice bath
202301,9087,cold plunge,Ice bath
202302,6841,cold plunge,Ice bath
202303,8299,cold plunge,Ice bath
202304,7636,cold plunge,Ice bath
202305,8621,cold plunge,Ice bath
202306,7817,cold plunge,Ice bath
202307,7887,cold plunge,Ice bath
202308,8342,cold plunge,Ice bath
202309,9569,cold plunge,Ice bath
202310,9066,cold plunge,Ice bath
202311,9754,cold plunge,Ice bath
202312,11619,cold plunge,Ice bath
202401,15645,cold plunge,Ice bath
202402,8791,cold plunge,Ice bath
202403,7091,cold plunge,Ice bath
202404,6116,cold plunge,Ice bath
202405,5189,cold plunge,Ice bath
202406,4554,cold plunge,Ice bath
202407,5037,cold plunge,Ice bath
202408,5170,cold plunge,Ice bath
202409,4664,cold plunge,Ice bath
202410,4657,cold plunge,Ice bath
202411,4889,cold plunge,Ice bath
202412,4923,cold plunge,Ice bath
202501,5580,cold plunge,Ice bath
202502,4017,cold plunge,Ice bath
202503,4224,cold plunge,Ice bath
202504,3399,cold plunge,Ice bath
202505,3335,cold plunge,Ice bath
202506,3808,cold plunge,Ice bath
202507,3888,cold plunge,Ice bath
202508,3623,cold plunge,Ice bath
202509,3116,cold plunge,Ice bath
202510,3224,cold plunge,Ice bath
202511,3226,cold plunge,Ice bath
202512,3292,cold plunge,Ice bath
202601,3082,cold plunge,Ice bath
202602,2204,cold plunge,Ice bath
202603,2325,cold plunge,Ice bath
202604,2242,cold plunge,Ice bath
202605,2441,cold plunge,Ice bath
202606,2423,cold plunge,Ice bath
