country,predicted_comp
United States of America,127632.71449489467
Switzerland,125397.07106742632
Israel,103590.12842086027
Denmark,94769.28335718936
United Kingdom of Great Britain and Northern Ireland,92431.9405682524
Australia,91718.72206512073
Norway,90870.07408402022
Canada,89533.90722793134
Netherlands,85009.58066048968
Germany,84208.36690911328
New Zealand,82667.08754166098
Belgium,81823.26967258954
Austria,80735.8221070975
France,76365.39409073669
Finland,75839.50574236899
Sweden,75386.94481683588
Spain,72312.08374358578
Portugal,70214.51120102522
Italy,69792.18105247385
Czech Republic,69227.05289385909
Poland,67711.96990709692
Greece,67034.51141107747
Romania,64145.396164768084
South Africa,63908.72671387789
Hungary,63643.81428603434
Other,60551.262432002615
Mexico,58765.60229846079
Brazil,58130.57299145416
Turkey,57612.073205722176
Ukraine,55731.74079213805
India,55717.02481327835
