EN_YEAR	EN_QUARTER	EN_MONTH	FR_ANNEÉ	FR_TRIMESTRE	FR_MOIS	EN_PROVINCE_TERRITORY	FR_PROVINCE_TERRITOIRE	EN_IMMIGRATION_CATEGORY-COMPONENT	FR_CATÉGORIE_D'IMMIGRATION-COMPOSANTE	TOTAL
2021	Q2	May	2021	T2	mai	Ontario	Ontario	Skilled Trade	Métiers spécialisés	--
2025	Q4	Oct	2025	T4	oct.	Ontario	Ontario	Canadian Experience	Catégorie de l’expérience canadienne	2110
2018	Q4	Oct	2018	T4	oct.	Alberta	Alberta	Skilled Worker	Travailleurs qualifiés	340
2016	Q3	Jul	2016	T3	juil.	Nova Scotia	Nouvelle-Écosse	Canadian Experience	Catégorie de l’expérience canadienne	--
2023	Q2	Jun	2023	T2	juin	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Canadian Experience	Catégorie de l’expérience canadienne	10
2024	Q1	Jan	2024	T1	janv.	Prince Edward Island	Île-du-Prince-Édouard	Provincial Nominee Program	Candidats des provinces ou des territoires	65
2026	Q2	May	2026	T2	mai	Nunavut	Nunavut	Canadian Experience	Catégorie de l’expérience canadienne	--
2023	Q1	Feb	2023	T1	fév.	British Columbia	Colombie-Britannique	Canadian Experience	Catégorie de l’expérience canadienne	1065
2026	Q1	Mar	2026	T1	mars	Manitoba	Manitoba	Canadian Experience	Catégorie de l’expérience canadienne	45
2026	Q2	Apr	2026	T2	avr.	Ontario	Ontario	Canadian Experience	Catégorie de l’expérience canadienne	2110
2023	Q2	Jun	2023	T2	juin	British Columbia	Colombie-Britannique	Provincial Nominee Program	Candidats des provinces ou des territoires	750
2016	Q2	May	2016	T2	mai	New Brunswick	Nouveau-Brunswick	Provincial Nominee Program	Candidats des provinces ou des territoires	25
2022	Q4	Oct	2022	T4	oct.	Prince Edward Island	Île-du-Prince-Édouard	Canadian Experience	Catégorie de l’expérience canadienne	--
2025	Q3	Aug	2025	T3	août	Prince Edward Island	Île-du-Prince-Édouard	Skilled Worker	Travailleurs qualifiés	--
2020	Q4	Nov	2020	T4	nov.	Nova Scotia	Nouvelle-Écosse	Provincial Nominee Program	Candidats des provinces ou des territoires	65
2016	Q2	Jun	2016	T2	juin	Manitoba	Manitoba	Skilled Worker	Travailleurs qualifiés	20
2021	Q4	Oct	2021	T4	oct.	Nunavut	Nunavut	Skilled Worker	Travailleurs qualifiés	--
2025	Q3	Sep	2025	T3	sept.	Yukon	Yukon	Canadian Experience	Catégorie de l’expérience canadienne	--
2021	Q4	Nov	2021	T4	nov.	Alberta	Alberta	Provincial Nominee Program	Candidats des provinces ou des territoires	180
2018	Q4	Oct	2018	T4	oct.	Saskatchewan	Saskatchewan	Skilled Worker	Travailleurs qualifiés	30
2024	Q3	Aug	2024	T3	août	Ontario	Ontario	Provincial Nominee Program	Candidats des provinces ou des territoires	1135
2023	Q2	Apr	2023	T2	avr.	Ontario	Ontario	Canadian Experience	Catégorie de l’expérience canadienne	1655
2021	Q4	Nov	2021	T4	nov.	Manitoba	Manitoba	Provincial Nominee Program	Candidats des provinces ou des territoires	100
2018	Q4	Oct	2018	T4	oct.	Manitoba	Manitoba	Provincial Nominee Program	Candidats des provinces ou des territoires	15
2022	Q2	Apr	2022	T2	avr.	Saskatchewan	Saskatchewan	Canadian Experience	Catégorie de l’expérience canadienne	35
2016	Q1	Feb	2016	T1	fév.	Alberta	Alberta	Skilled Trade	Métiers spécialisés	195
2020	Q4	Dec	2020	T4	déc.	British Columbia	Colombie-Britannique	Skilled Trade	Métiers spécialisés	--
2022	Q1	Feb	2022	T1	fév.	Northwest Territories	Territoires du Nord-Ouest	Canadian Experience	Catégorie de l’expérience canadienne	5
2019	Q2	May	2019	T2	mai	Nova Scotia	Nouvelle-Écosse	Canadian Experience	Catégorie de l’expérience canadienne	40
2020	Q3	Sep	2020	T3	sept.	Manitoba	Manitoba	Provincial Nominee Program	Candidats des provinces ou des territoires	35
2017	Q3	Jul	2017	T3	juil.	Manitoba	Manitoba	Skilled Worker	Travailleurs qualifiés	10
2019	Q2	Jun	2019	T2	juin	Ontario	Ontario	Skilled Trade	Métiers spécialisés	5
2018	Q2	May	2018	T2	mai	Northwest Territories	Territoires du Nord-Ouest	Provincial Nominee Program	Candidats des provinces ou des territoires	--
2017	Q3	Sep	2017	T3	sept.	Alberta	Alberta	Canadian Experience	Catégorie de l’expérience canadienne	250
2018	Q3	Aug	2018	T3	août	British Columbia	Colombie-Britannique	Canadian Experience	Catégorie de l’expérience canadienne	330
2026	Q1	Feb	2026	T1	fév.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Provincial Nominee Program	Candidats des provinces ou des territoires	65
2021	Q3	Jul	2021	T3	juil.	Prince Edward Island	Île-du-Prince-Édouard	Provincial Nominee Program	Candidats des provinces ou des territoires	110
2016	Q3	Jul	2016	T3	juil.	Manitoba	Manitoba	Canadian Experience	Catégorie de l’expérience canadienne	--
2016	Q2	Jun	2016	T2	juin	British Columbia	Colombie-Britannique	Skilled Worker	Travailleurs qualifiés	225
2024	Q2	Jun	2024	T2	juin	Yukon	Yukon	Provincial Nominee Program	Candidats des provinces ou des territoires	5
2022	Q3	Sep	2022	T3	sept.	Manitoba	Manitoba	Canadian Experience	Catégorie de l’expérience canadienne	10
2021	Q3	Jul	2021	T3	juil.	Ontario	Ontario	Skilled Worker	Travailleurs qualifiés	520
