EN_YEAR	FR_ANNEÉ	EN_PROVINCE_TERRITORY	FR_PROVINCE_TERRITOIRE	EN_INVITATION_CATEGORY	FR_CATEGORIE_D'INVITATION	EN_COUNTRY_OF_CITIZENSHIP	FR_PAYS_DE_CITOYENNETÉ	TOTAL
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Albania	Albanie	--
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Argentina	Argentine	--
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Australia	Australie	50
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Austria	Autriche	--
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Bangladesh	Bangladesh	10
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Barbados	Barbade	5
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Belarus	Bélarus	--
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Belgium	Belgique	--
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Belize	Bélize	--
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Bosnia-Herzegovina	Bosnie-Herzégovine	--
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Brazil	Brésil	30
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Bulgaria	Bulgarie	--
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Chile	Chili	--
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	China, People's Republic of	Chine, République populaire de	35
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Colombia	Colombie	--
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Country of citizenship not stated	Pays de citoyenneté non déclaré	--
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Croatia	Croatie	85
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Cuba	Cuba	--
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Czech Republic	République tchèque	25
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Denmark	Danemark	--
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Dominican Republic	République dominicaine	--
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Ecuador	Équateur	5
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Egypt	Égypte	10
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	El Salvador	El Salvador	--
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Ethiopia	Éthiopie	--
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Fiji	Fidji	15
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Finland	Finlande	--
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	France	France	15
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Germany	Allemagne	35
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Ghana	Ghana	--
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Greece	Grèce	10
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Grenada	Grenade	--
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Guyana	Guyane	--
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Hong Kong SAR	RAS Hong Kong	10
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Hungary	Hongrie	20
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Iceland	Islande	--
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	India	Inde	625
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Indonesia, Republic of	Indonésie, République d'	10
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Iran	Iran	10
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Iraq	Iraq	--
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Ireland, Republic of	Irlande, République d'	225
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Israel	Israël	30
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Italy	Italie	15
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Jamaica	Jamaïque	70
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Japan	Japon	15
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Jordan	Jordanie	5
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Kazakhstan	Kazakhstan	--
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Kenya	Kenya	5
