EN_YEAR	FR_YEAR	EN_PROVINCE_TERRITORY	FR_PROVINCE_TERRITOIRE	EN_INVITATION_CATEGORY	FR_CATEGORIE_D'INVITATION	EN_CENSUS_METROPOLITAN_AREA	FR_RÉGION_MÉTROPOLITAINE_DE_RECENSEMENT	TOTAL
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Brooks	Brooks	20
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Calgary	Calgary	1435
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Camrose	Camrose	20
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Canmore	Canmore	30
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Edmonton	Edmonton	1845
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Grande Prairie	Grande Prairie	125
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	High River	High River	15
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Lacombe	Lacombe	5
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Lethbridge	Lethbridge	80
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Lloydminster (Alberta part)	Lloydminster (partie de l'Alberta)	50
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Medicine Hat	Medicine Hat	45
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Okotoks	Okotoks	40
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Other - Alberta	Autres - Alberta	640
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Red Deer	Red Deer	110
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Strathmore	Strathmore	15
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Sylvan Lake	Sylvan Lake	10
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Wetaskiwin	Wetaskiwin	20
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Wood Buffalo	Wood Buffalo	125
2015	2015	Alberta	Alberta	Federal Skilled Trades	Métiers spécialisés	Brooks	Brooks	--
2015	2015	Alberta	Alberta	Federal Skilled Trades	Métiers spécialisés	Calgary	Calgary	435
2015	2015	Alberta	Alberta	Federal Skilled Trades	Métiers spécialisés	Camrose	Camrose	5
2015	2015	Alberta	Alberta	Federal Skilled Trades	Métiers spécialisés	Canmore	Canmore	--
2015	2015	Alberta	Alberta	Federal Skilled Trades	Métiers spécialisés	Edmonton	Edmonton	585
2015	2015	Alberta	Alberta	Federal Skilled Trades	Métiers spécialisés	Grande Prairie	Grande Prairie	40
2015	2015	Alberta	Alberta	Federal Skilled Trades	Métiers spécialisés	Lacombe	Lacombe	--
2015	2015	Alberta	Alberta	Federal Skilled Trades	Métiers spécialisés	Lethbridge	Lethbridge	25
2015	2015	Alberta	Alberta	Federal Skilled Trades	Métiers spécialisés	Lloydminster (Alberta part)	Lloydminster (partie de l'Alberta)	15
2015	2015	Alberta	Alberta	Federal Skilled Trades	Métiers spécialisés	Medicine Hat	Medicine Hat	15
2015	2015	Alberta	Alberta	Federal Skilled Trades	Métiers spécialisés	Okotoks	Okotoks	10
2015	2015	Alberta	Alberta	Federal Skilled Trades	Métiers spécialisés	Other - Alberta	Autres - Alberta	185
2015	2015	Alberta	Alberta	Federal Skilled Trades	Métiers spécialisés	Red Deer	Red Deer	25
2015	2015	Alberta	Alberta	Federal Skilled Trades	Métiers spécialisés	Strathmore	Strathmore	--
2015	2015	Alberta	Alberta	Federal Skilled Trades	Métiers spécialisés	Sylvan Lake	Sylvan Lake	5
2015	2015	Alberta	Alberta	Federal Skilled Trades	Métiers spécialisés	Wetaskiwin	Wetaskiwin	5
2015	2015	Alberta	Alberta	Federal Skilled Trades	Métiers spécialisés	Wood Buffalo	Wood Buffalo	35
2015	2015	Alberta	Alberta	Federal Skilled Worker	Travailleurs qualifiés	Brooks	Brooks	5
2015	2015	Alberta	Alberta	Federal Skilled Worker	Travailleurs qualifiés	Calgary	Calgary	1005
2015	2015	Alberta	Alberta	Federal Skilled Worker	Travailleurs qualifiés	Camrose	Camrose	5
2015	2015	Alberta	Alberta	Federal Skilled Worker	Travailleurs qualifiés	Canmore	Canmore	10
2015	2015	Alberta	Alberta	Federal Skilled Worker	Travailleurs qualifiés	Edmonton	Edmonton	685
2015	2015	Alberta	Alberta	Federal Skilled Worker	Travailleurs qualifiés	Grande Prairie	Grande Prairie	15
2015	2015	Alberta	Alberta	Federal Skilled Worker	Travailleurs qualifiés	High River	High River	--
2015	2015	Alberta	Alberta	Federal Skilled Worker	Travailleurs qualifiés	Lethbridge	Lethbridge	20
2015	2015	Alberta	Alberta	Federal Skilled Worker	Travailleurs qualifiés	Lloydminster (Alberta part)	Lloydminster (partie de l'Alberta)	10
2015	2015	Alberta	Alberta	Federal Skilled Worker	Travailleurs qualifiés	Medicine Hat	Medicine Hat	10
2015	2015	Alberta	Alberta	Federal Skilled Worker	Travailleurs qualifiés	Okotoks	Okotoks	--
2015	2015	Alberta	Alberta	Federal Skilled Worker	Travailleurs qualifiés	Other - Alberta	Autres - Alberta	135
2015	2015	Alberta	Alberta	Federal Skilled Worker	Travailleurs qualifiés	Red Deer	Red Deer	25
2015	2015	Alberta	Alberta	Federal Skilled Worker	Travailleurs qualifiés	Strathmore	Strathmore	--
2015	2015	Alberta	Alberta	Federal Skilled Worker	Travailleurs qualifiés	Sylvan Lake	Sylvan Lake	--
2015	2015	Alberta	Alberta	Federal Skilled Worker	Travailleurs qualifiés	Wetaskiwin	Wetaskiwin	--
2015	2015	Alberta	Alberta	Federal Skilled Worker	Travailleurs qualifiés	Wood Buffalo	Wood Buffalo	25
2015	2015	British Columbia	Colombie-Britannique	Canadian Experience Class	Catégorie de l'expérience canadienne	Abbotsford - Mission	Abbotsford - Mission	15
2015	2015	British Columbia	Colombie-Britannique	Canadian Experience Class	Catégorie de l'expérience canadienne	Campbell River	Campbell River	--
2015	2015	British Columbia	Colombie-Britannique	Canadian Experience Class	Catégorie de l'expérience canadienne	Chilliwack	Chilliwack	5
2015	2015	British Columbia	Colombie-Britannique	Canadian Experience Class	Catégorie de l'expérience canadienne	Courtenay	Courtenay	--
2015	2015	British Columbia	Colombie-Britannique	Canadian Experience Class	Catégorie de l'expérience canadienne	Cranbrook	Cranbrook	--
2015	2015	British Columbia	Colombie-Britannique	Canadian Experience Class	Catégorie de l'expérience canadienne	Dawson Creek	Dawson Creek	15
2015	2015	British Columbia	Colombie-Britannique	Canadian Experience Class	Catégorie de l'expérience canadienne	Duncan	Duncan	5
2015	2015	British Columbia	Colombie-Britannique	Canadian Experience Class	Catégorie de l'expérience canadienne	Fort St. John	Fort St. John	15
2015	2015	British Columbia	Colombie-Britannique	Canadian Experience Class	Catégorie de l'expérience canadienne	Kamloops	Kamloops	10
2015	2015	British Columbia	Colombie-Britannique	Canadian Experience Class	Catégorie de l'expérience canadienne	Kelowna	Kelowna	20
2015	2015	British Columbia	Colombie-Britannique	Canadian Experience Class	Catégorie de l'expérience canadienne	Ladysmith	Ladysmith	--
2015	2015	British Columbia	Colombie-Britannique	Canadian Experience Class	Catégorie de l'expérience canadienne	Nanaimo	Nanaimo	15
2015	2015	British Columbia	Colombie-Britannique	Canadian Experience Class	Catégorie de l'expérience canadienne	Nelson	Nelson	--
2015	2015	British Columbia	Colombie-Britannique	Canadian Experience Class	Catégorie de l'expérience canadienne	Other - British Columbia	Autres - Colombie-Britannique	115
2015	2015	British Columbia	Colombie-Britannique	Canadian Experience Class	Catégorie de l'expérience canadienne	Parksville	Parksville	--
2015	2015	British Columbia	Colombie-Britannique	Canadian Experience Class	Catégorie de l'expérience canadienne	Penticton	Penticton	--
2015	2015	British Columbia	Colombie-Britannique	Canadian Experience Class	Catégorie de l'expérience canadienne	Port Alberni	Port Alberni	--
2015	2015	British Columbia	Colombie-Britannique	Canadian Experience Class	Catégorie de l'expérience canadienne	Powell River	Powell River	--
2015	2015	British Columbia	Colombie-Britannique	Canadian Experience Class	Catégorie de l'expérience canadienne	Prince George	Prince George	5
2015	2015	British Columbia	Colombie-Britannique	Canadian Experience Class	Catégorie de l'expérience canadienne	Quesnel	Quesnel	--
2015	2015	British Columbia	Colombie-Britannique	Canadian Experience Class	Catégorie de l'expérience canadienne	Salmon Arm	Salmon Arm	--
2015	2015	British Columbia	Colombie-Britannique	Canadian Experience Class	Catégorie de l'expérience canadienne	Squamish	Squamish	--
2015	2015	British Columbia	Colombie-Britannique	Canadian Experience Class	Catégorie de l'expérience canadienne	Terrace	Terrace	10
2015	2015	British Columbia	Colombie-Britannique	Canadian Experience Class	Catégorie de l'expérience canadienne	Trail	Trail	--
2015	2015	British Columbia	Colombie-Britannique	Canadian Experience Class	Catégorie de l'expérience canadienne	Vancouver	Vancouver	970
2015	2015	British Columbia	Colombie-Britannique	Canadian Experience Class	Catégorie de l'expérience canadienne	Vernon	Vernon	10
2015	2015	British Columbia	Colombie-Britannique	Canadian Experience Class	Catégorie de l'expérience canadienne	Victoria	Victoria	50
2015	2015	British Columbia	Colombie-Britannique	Canadian Experience Class	Catégorie de l'expérience canadienne	Williams Lake	Williams Lake	10
2015	2015	British Columbia	Colombie-Britannique	Federal Skilled Trades	Métiers spécialisés	Abbotsford - Mission	Abbotsford - Mission	10
2015	2015	British Columbia	Colombie-Britannique	Federal Skilled Trades	Métiers spécialisés	Campbell River	Campbell River	--
2015	2015	British Columbia	Colombie-Britannique	Federal Skilled Trades	Métiers spécialisés	Chilliwack	Chilliwack	5
2015	2015	British Columbia	Colombie-Britannique	Federal Skilled Trades	Métiers spécialisés	Dawson Creek	Dawson Creek	5
2015	2015	British Columbia	Colombie-Britannique	Federal Skilled Trades	Métiers spécialisés	Duncan	Duncan	--
2015	2015	British Columbia	Colombie-Britannique	Federal Skilled Trades	Métiers spécialisés	Fort St. John	Fort St. John	5
2015	2015	British Columbia	Colombie-Britannique	Federal Skilled Trades	Métiers spécialisés	Kamloops	Kamloops	--
2015	2015	British Columbia	Colombie-Britannique	Federal Skilled Trades	Métiers spécialisés	Kelowna	Kelowna	10
2015	2015	British Columbia	Colombie-Britannique	Federal Skilled Trades	Métiers spécialisés	Ladysmith	Ladysmith	--
2015	2015	British Columbia	Colombie-Britannique	Federal Skilled Trades	Métiers spécialisés	Nanaimo	Nanaimo	--
2015	2015	British Columbia	Colombie-Britannique	Federal Skilled Trades	Métiers spécialisés	Other - British Columbia	Autres - Colombie-Britannique	10
2015	2015	British Columbia	Colombie-Britannique	Federal Skilled Trades	Métiers spécialisés	Penticton	Penticton	--
2015	2015	British Columbia	Colombie-Britannique	Federal Skilled Trades	Métiers spécialisés	Prince George	Prince George	5
2015	2015	British Columbia	Colombie-Britannique	Federal Skilled Trades	Métiers spécialisés	Terrace	Terrace	5
2015	2015	British Columbia	Colombie-Britannique	Federal Skilled Trades	Métiers spécialisés	Vancouver	Vancouver	125
2015	2015	British Columbia	Colombie-Britannique	Federal Skilled Trades	Métiers spécialisés	Victoria	Victoria	--
2015	2015	British Columbia	Colombie-Britannique	Federal Skilled Trades	Métiers spécialisés	Williams Lake	Williams Lake	--
2015	2015	British Columbia	Colombie-Britannique	Federal Skilled Worker	Travailleurs qualifiés	Abbotsford - Mission	Abbotsford - Mission	10
2015	2015	British Columbia	Colombie-Britannique	Federal Skilled Worker	Travailleurs qualifiés	Chilliwack	Chilliwack	--
2015	2015	British Columbia	Colombie-Britannique	Federal Skilled Worker	Travailleurs qualifiés	Courtenay	Courtenay	--
2015	2015	British Columbia	Colombie-Britannique	Federal Skilled Worker	Travailleurs qualifiés	Dawson Creek	Dawson Creek	5
2015	2015	British Columbia	Colombie-Britannique	Federal Skilled Worker	Travailleurs qualifiés	Duncan	Duncan	--
2015	2015	British Columbia	Colombie-Britannique	Federal Skilled Worker	Travailleurs qualifiés	Fort St. John	Fort St. John	10
2015	2015	British Columbia	Colombie-Britannique	Federal Skilled Worker	Travailleurs qualifiés	Kamloops	Kamloops	5
2015	2015	British Columbia	Colombie-Britannique	Federal Skilled Worker	Travailleurs qualifiés	Kelowna	Kelowna	15
2015	2015	British Columbia	Colombie-Britannique	Federal Skilled Worker	Travailleurs qualifiés	Nanaimo	Nanaimo	20
2015	2015	British Columbia	Colombie-Britannique	Federal Skilled Worker	Travailleurs qualifiés	Other - British Columbia	Autres - Colombie-Britannique	65
2015	2015	British Columbia	Colombie-Britannique	Federal Skilled Worker	Travailleurs qualifiés	Parksville	Parksville	--
2015	2015	British Columbia	Colombie-Britannique	Federal Skilled Worker	Travailleurs qualifiés	Penticton	Penticton	5
2015	2015	British Columbia	Colombie-Britannique	Federal Skilled Worker	Travailleurs qualifiés	Powell River	Powell River	--
2015	2015	British Columbia	Colombie-Britannique	Federal Skilled Worker	Travailleurs qualifiés	Prince George	Prince George	10
2015	2015	British Columbia	Colombie-Britannique	Federal Skilled Worker	Travailleurs qualifiés	Prince Rupert	Prince Rupert	--
2015	2015	British Columbia	Colombie-Britannique	Federal Skilled Worker	Travailleurs qualifiés	Quesnel	Quesnel	--
2015	2015	British Columbia	Colombie-Britannique	Federal Skilled Worker	Travailleurs qualifiés	Salmon Arm	Salmon Arm	--
2015	2015	British Columbia	Colombie-Britannique	Federal Skilled Worker	Travailleurs qualifiés	Squamish	Squamish	5
2015	2015	British Columbia	Colombie-Britannique	Federal Skilled Worker	Travailleurs qualifiés	Terrace	Terrace	--
2015	2015	British Columbia	Colombie-Britannique	Federal Skilled Worker	Travailleurs qualifiés	Vancouver	Vancouver	1420
2015	2015	British Columbia	Colombie-Britannique	Federal Skilled Worker	Travailleurs qualifiés	Vernon	Vernon	5
2015	2015	British Columbia	Colombie-Britannique	Federal Skilled Worker	Travailleurs qualifiés	Victoria	Victoria	70
2015	2015	British Columbia	Colombie-Britannique	Federal Skilled Worker	Travailleurs qualifiés	Williams Lake	Williams Lake	--
2015	2015	British Columbia	Colombie-Britannique	Provincial Nominee Program	Candidats des provinces ou des territoires	Abbotsford - Mission	Abbotsford - Mission	15
2015	2015	British Columbia	Colombie-Britannique	Provincial Nominee Program	Candidats des provinces ou des territoires	Campbell River	Campbell River	5
2015	2015	British Columbia	Colombie-Britannique	Provincial Nominee Program	Candidats des provinces ou des territoires	Chilliwack	Chilliwack	5
2015	2015	British Columbia	Colombie-Britannique	Provincial Nominee Program	Candidats des provinces ou des territoires	Courtenay	Courtenay	--
2015	2015	British Columbia	Colombie-Britannique	Provincial Nominee Program	Candidats des provinces ou des territoires	Cranbrook	Cranbrook	--
2015	2015	British Columbia	Colombie-Britannique	Provincial Nominee Program	Candidats des provinces ou des territoires	Dawson Creek	Dawson Creek	--
2015	2015	British Columbia	Colombie-Britannique	Provincial Nominee Program	Candidats des provinces ou des territoires	Duncan	Duncan	--
2015	2015	British Columbia	Colombie-Britannique	Provincial Nominee Program	Candidats des provinces ou des territoires	Fort St. John	Fort St. John	15
2015	2015	British Columbia	Colombie-Britannique	Provincial Nominee Program	Candidats des provinces ou des territoires	Kamloops	Kamloops	20
2015	2015	British Columbia	Colombie-Britannique	Provincial Nominee Program	Candidats des provinces ou des territoires	Kelowna	Kelowna	15
2015	2015	British Columbia	Colombie-Britannique	Provincial Nominee Program	Candidats des provinces ou des territoires	Ladysmith	Ladysmith	--
2015	2015	British Columbia	Colombie-Britannique	Provincial Nominee Program	Candidats des provinces ou des territoires	Nanaimo	Nanaimo	5
2015	2015	British Columbia	Colombie-Britannique	Provincial Nominee Program	Candidats des provinces ou des territoires	Nelson	Nelson	--
2015	2015	British Columbia	Colombie-Britannique	Provincial Nominee Program	Candidats des provinces ou des territoires	Other - British Columbia	Autres - Colombie-Britannique	70
2015	2015	British Columbia	Colombie-Britannique	Provincial Nominee Program	Candidats des provinces ou des territoires	Parksville	Parksville	--
2015	2015	British Columbia	Colombie-Britannique	Provincial Nominee Program	Candidats des provinces ou des territoires	Port Alberni	Port Alberni	--
2015	2015	British Columbia	Colombie-Britannique	Provincial Nominee Program	Candidats des provinces ou des territoires	Powell River	Powell River	--
2015	2015	British Columbia	Colombie-Britannique	Provincial Nominee Program	Candidats des provinces ou des territoires	Prince George	Prince George	10
2015	2015	British Columbia	Colombie-Britannique	Provincial Nominee Program	Candidats des provinces ou des territoires	Quesnel	Quesnel	--
2015	2015	British Columbia	Colombie-Britannique	Provincial Nominee Program	Candidats des provinces ou des territoires	Squamish	Squamish	--
2015	2015	British Columbia	Colombie-Britannique	Provincial Nominee Program	Candidats des provinces ou des territoires	Terrace	Terrace	10
2015	2015	British Columbia	Colombie-Britannique	Provincial Nominee Program	Candidats des provinces ou des territoires	Trail	Trail	--
2015	2015	British Columbia	Colombie-Britannique	Provincial Nominee Program	Candidats des provinces ou des territoires	Vancouver	Vancouver	990
2015	2015	British Columbia	Colombie-Britannique	Provincial Nominee Program	Candidats des provinces ou des territoires	Vernon	Vernon	--
2015	2015	British Columbia	Colombie-Britannique	Provincial Nominee Program	Candidats des provinces ou des territoires	Victoria	Victoria	30
2015	2015	Manitoba	Manitoba	Canadian Experience Class	Catégorie de l'expérience canadienne	Brandon	Brandon	--
2015	2015	Manitoba	Manitoba	Canadian Experience Class	Catégorie de l'expérience canadienne	Other - Manitoba	Autres - Manitoba	10
2015	2015	Manitoba	Manitoba	Canadian Experience Class	Catégorie de l'expérience canadienne	Thompson	Thompson	--
2015	2015	Manitoba	Manitoba	Canadian Experience Class	Catégorie de l'expérience canadienne	Winkler	Winkler	--
2015	2015	Manitoba	Manitoba	Canadian Experience Class	Catégorie de l'expérience canadienne	Winnipeg	Winnipeg	30
2015	2015	Manitoba	Manitoba	Federal Skilled Trades	Métiers spécialisés	Other - Manitoba	Autres - Manitoba	--
2015	2015	Manitoba	Manitoba	Federal Skilled Trades	Métiers spécialisés	Portage la Prairie	Portage la Prairie	--
2015	2015	Manitoba	Manitoba	Federal Skilled Trades	Métiers spécialisés	Thompson	Thompson	--
2015	2015	Manitoba	Manitoba	Federal Skilled Trades	Métiers spécialisés	Winkler	Winkler	--
2015	2015	Manitoba	Manitoba	Federal Skilled Trades	Métiers spécialisés	Winnipeg	Winnipeg	--
2015	2015	Manitoba	Manitoba	Federal Skilled Worker	Travailleurs qualifiés	Brandon	Brandon	--
2015	2015	Manitoba	Manitoba	Federal Skilled Worker	Travailleurs qualifiés	Other - Manitoba	Autres - Manitoba	5
2015	2015	Manitoba	Manitoba	Federal Skilled Worker	Travailleurs qualifiés	Winnipeg	Winnipeg	70
2015	2015	Manitoba	Manitoba	Provincial Nominee Program	Candidats des provinces ou des territoires	Other - Manitoba	Autres - Manitoba	--
2015	2015	Manitoba	Manitoba	Provincial Nominee Program	Candidats des provinces ou des territoires	Portage la Prairie	Portage la Prairie	--
2015	2015	Manitoba	Manitoba	Provincial Nominee Program	Candidats des provinces ou des territoires	Steinbach	Steinbach	--
2015	2015	Manitoba	Manitoba	Provincial Nominee Program	Candidats des provinces ou des territoires	Thompson	Thompson	--
2015	2015	Manitoba	Manitoba	Provincial Nominee Program	Candidats des provinces ou des territoires	Winnipeg	Winnipeg	100
2015	2015	New Brunswick	Nouveau-Brunswick	Canadian Experience Class	Catégorie de l'expérience canadienne	Fredericton	Fredericton	--
2015	2015	New Brunswick	Nouveau-Brunswick	Canadian Experience Class	Catégorie de l'expérience canadienne	Miramichi	Miramichi	--
2015	2015	New Brunswick	Nouveau-Brunswick	Canadian Experience Class	Catégorie de l'expérience canadienne	Moncton	Moncton	--
2015	2015	New Brunswick	Nouveau-Brunswick	Canadian Experience Class	Catégorie de l'expérience canadienne	Other - New Brunswick	Autres - Nouveau-Brunswick	--
2015	2015	New Brunswick	Nouveau-Brunswick	Canadian Experience Class	Catégorie de l'expérience canadienne	Saint John	Saint John	5
2015	2015	New Brunswick	Nouveau-Brunswick	Federal Skilled Trades	Métiers spécialisés	Moncton	Moncton	--
2015	2015	New Brunswick	Nouveau-Brunswick	Federal Skilled Trades	Métiers spécialisés	Other - New Brunswick	Autres - Nouveau-Brunswick	--
