EN_YEAR	EN_QUARTER	EN_MONTH	FR_ANNEÉ	FR_TRIMESTRE	FR_MOIS	EN_PROVINCE_TERRITORY	FR_PROVINCE_TERRITOIRE	EN_COUNTRY_OF_CITIZENSHIP	FR_PAYS_DE_CITOYENNETÉ	TOTAL
2016	Q3	Aug	2016	T3	août	Nova Scotia	Nouvelle-Écosse	Barbados	Barbade	--
2024	Q1	Feb	2024	T1	fév.	Alberta	Alberta	Taiwan	Taïwan	--
2016	Q2	Apr	2016	T2	avr.	Ontario	Ontario	United Kingdom and Overseas Territories	Royaume-Uni et territoires d’outre-mer	50
2023	Q1	Mar	2023	T1	mars	British Columbia	Colombie-Britannique	Italy	Italie	10
2018	Q4	Nov	2018	T4	nov.	Alberta	Alberta	Ghana	Ghana	5
2021	Q1	Feb	2021	T1	fév.	Nova Scotia	Nouvelle-Écosse	Cameroon, Federal Republic of	Cameroun, République fédérale du	10
2017	Q1	Jan	2017	T1	janv.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Iraq	Iraq	--
2016	Q4	Nov	2016	T4	nov.	Ontario	Ontario	Singapore	Singapour	--
2018	Q3	Jul	2018	T3	juil.	Ontario	Ontario	Belarus	Bélarus	--
2017	Q1	Feb	2017	T1	fév.	British Columbia	Colombie-Britannique	South Africa, Republic of	Afrique du Sud, République d'	10
2022	Q4	Oct	2022	T4	oct.	British Columbia	Colombie-Britannique	Philippines	Philippines	25
2018	Q2	Jun	2018	T2	juin	Ontario	Ontario	Stateless	Apatride	10
2022	Q3	Jul	2022	T3	juil.	Nova Scotia	Nouvelle-Écosse	Lebanon	Liban	55
2023	Q1	Mar	2023	T1	mars	Ontario	Ontario	Mozambique	Mozambique	--
2017	Q2	May	2017	T2	mai	Nova Scotia	Nouvelle-Écosse	Korea, Republic of	Corée, République de	--
2025	Q2	May	2025	T2	mai	Ontario	Ontario	Russia	Russie	30
2022	Q3	Aug	2022	T3	août	New Brunswick	Nouveau-Brunswick	Ukraine	Ukraine	10
2017	Q2	May	2017	T2	mai	British Columbia	Colombie-Britannique	Malaysia	Malaisie	5
2022	Q4	Oct	2022	T4	oct.	Ontario	Ontario	Lebanon	Liban	240
2024	Q1	Feb	2024	T1	fév.	Ontario	Ontario	Romania	Roumanie	5
2015	Q4	Dec	2015	T4	déc.	Ontario	Ontario	Australia	Australie	5
2018	Q4	Dec	2018	T4	déc.	Prince Edward Island	Île-du-Prince-Édouard	India	Inde	10
2026	Q2	Apr	2026	T2	avr.	Manitoba	Manitoba	Algeria	Algérie	--
2019	Q2	May	2019	T2	mai	British Columbia	Colombie-Britannique	Portugal	Portugal	--
2026	Q1	Feb	2026	T1	fév.	Nova Scotia	Nouvelle-Écosse	Bahama Islands, The	Bahamas	--
2018	Q4	Nov	2018	T4	nov.	Ontario	Ontario	Ireland, Republic of	Irlande, République d'	20
2021	Q1	Feb	2021	T1	fév.	Saskatchewan	Saskatchewan	Brazil	Brésil	--
2016	Q1	Mar	2016	T1	mars	Nova Scotia	Nouvelle-Écosse	Korea, Republic of	Corée, République de	--
2016	Q3	Sep	2016	T3	sept.	New Brunswick	Nouveau-Brunswick	Egypt	Égypte	--
2016	Q2	Jun	2016	T2	juin	Ontario	Ontario	Taiwan	Taïwan	--
2024	Q2	Jun	2024	T2	juin	British Columbia	Colombie-Britannique	Rwanda	Rwanda	5
2025	Q2	May	2025	T2	mai	Alberta	Alberta	Germany	Allemagne	5
2020	Q4	Oct	2020	T4	oct.	Alberta	Alberta	Colombia	Colombie	10
2024	Q3	Jul	2024	T3	juil.	Ontario	Ontario	Spain	Espagne	5
2025	Q2	May	2025	T2	mai	Nova Scotia	Nouvelle-Écosse	Iraq	Iraq	--
2016	Q4	Dec	2016	T4	déc.	Ontario	Ontario	Brazil	Brésil	20
2017	Q3	Aug	2017	T3	août	Ontario	Ontario	Taiwan	Taïwan	5
2021	Q1	Jan	2021	T1	janv.	Saskatchewan	Saskatchewan	Nigeria	Nigéria	80
2024	Q3	Jul	2024	T3	juil.	Manitoba	Manitoba	Poland	Pologne	--
2024	Q2	Jun	2024	T2	juin	Northwest Territories	Territoires du Nord-Ouest	Uganda	Ouganda	--
2019	Q2	Apr	2019	T2	avr.	Ontario	Ontario	Netherlands, The	Pays-Bas	10
2017	Q1	Jan	2017	T1	janv.	New Brunswick	Nouveau-Brunswick	Burundi	Burundi	--
2023	Q4	Dec	2023	T4	déc.	Ontario	Ontario	Rwanda	Rwanda	20
2019	Q4	Dec	2019	T4	déc.	Ontario	Ontario	Trinidad and Tobago, Republic of	Trinité-et-Tobago, République de	25
2022	Q3	Jul	2022	T3	juil.	Ontario	Ontario	Guyana	Guyane	--
2017	Q1	Feb	2017	T1	fév.	British Columbia	Colombie-Britannique	Vietnam	Viêt-Nam	--
