EN_YEAR	EN_QUARTER	EN_MONTH	FR_ANNEÉ	FR_TRIMESTRE	FR_MOIS	EN_PROVINCE_TERRITORY	FR_PROVINCE_TERRITOIRE	EN_OCCUPATION	FR_PROFESSION	TOTAL
2017	Q2	Apr	2017	T2	avr.	British Columbia	Colombie-Britannique	41 - Professional occupations in law and social, community and government services	41 - Personnel professionnel du droit et des services gouvernementaux, sociaux et communautaires	15
2016	Q1	Feb	2016	T1	fév.	Ontario	Ontario	06 - Middle management occupations in retail and wholesale trade and customer services	06 - Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle	15
2018	Q1	Feb	2018	T1	fév.	Yukon	Yukon	42 - Paraprofessional occupations in legal, social, community and education services	42 - Personnel paraprofessionnel des services juridiques, sociaux, communautaires et de l'enseignement	--
2022	Q3	Sep	2022	T3	sept.	British Columbia	Colombie-Britannique	Other occupations	Autres professions	760
2025	Q2	Apr	2025	T2	avr.	British Columbia	Colombie-Britannique	73 - Maintenance and equipment operation trades	73 - Personnel des métiers d'entretien et d'opération d'équipement	10
2021	Q2	Apr	2021	T2	avr.	Nova Scotia	Nouvelle-Écosse	41 - Professional occupations in law and social, community and government services	41 - Personnel professionnel du droit et des services gouvernementaux, sociaux et communautaires	--
2017	Q1	Jan	2017	T1	janv.	Prince Edward Island	Île-du-Prince-Édouard	22 - Technical occupations related to natural and applied sciences	22 - Personnel technique assimilé aux sciences naturelles et appliquées	10
2024	Q2	Apr	2024	T2	avr.	Prince Edward Island	Île-du-Prince-Édouard	62 - Retail sales supervisors and specialized sales occupations	62 - Personnel de supervision des ventes au détail et personnel des ventes spécialisées	--
2018	Q2	Apr	2018	T2	avr.	Ontario	Ontario	12 - Administrative and financial supervisors and administrative occupations	12 - Personnel de supervision du travail administratif et financier et personnel administratif	210
2026	Q2	May	2026	T2	mai	British Columbia	Colombie-Britannique	Other occupations	Autres professions	440
2017	Q4	Dec	2017	T4	déc.	Nova Scotia	Nouvelle-Écosse	30 - Professional occupations in nursing	30 - Personnel professionnel en soins infirmiers	--
2025	Q1	Jan	2025	T1	janv.	Ontario	Ontario	72 - Industrial, electrical and construction trades	72 - Personnel des métiers de l'électricité, de la construction et des industries	735
2021	Q2	Apr	2021	T2	avr.	British Columbia	Colombie-Britannique	11 - Professional occupations in business and finance	11 - Personnel professionnel en gestion des affaires et en finance	95
2026	Q1	Mar	2026	T1	mars	Manitoba	Manitoba	63 - Service supervisors and specialized service occupations	63 - Personnel de supervision en services et personnel de services spécialisés	20
2017	Q3	Sep	2017	T3	sept.	Alberta	Alberta	72 - Industrial, electrical and construction trades	72 - Personnel des métiers de l'électricité, de la construction et des industries	15
2016	Q3	Aug	2016	T3	août	Ontario	Ontario	06 - Middle management occupations in retail and wholesale trade and customer services	06 - Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle	15
2024	Q1	Jan	2024	T1	janv.	Manitoba	Manitoba	Other occupations	Autres professions	155
2022	Q3	Sep	2022	T3	sept.	Manitoba	Manitoba	13 - Finance, insurance and related business administrative occupations	13 - Personnel en finance, assurance et personnel assimilé en administration des affaires	15
2024	Q1	Mar	2024	T1	mars	New Brunswick	Nouveau-Brunswick	40 - Professional occupations in education services	40 - Personnel professionnel en services d'enseignement	5
2020	Q2	May	2020	T2	mai	British Columbia	Colombie-Britannique	40 - Professional occupations in education services	40 - Personnel professionnel en services d'enseignement	40
2022	Q3	Aug	2022	T3	août	Saskatchewan	Saskatchewan	72 - Industrial, electrical and construction trades	72 - Personnel des métiers de l'électricité, de la construction et des industries	--
