EN_YEAR	FR_ANNEÉ	EN_PROVINCE_TERRITORY	FR_PROVINCE_TERRITOIRE	EN_INVITATION_CATEGORY	FR_CATEGORIE_D'INVITATION	EN_ITA_SCORE	FR_NOTE_D'IPD	TOTAL
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 1001 - 1100	Note 1001 - 1100	55
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 401 - 450	Note 401 - 450	--
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 451 - 500	Note 451 - 500	275
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 501 - 600	Note 501 - 600	25
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 601 - 700	Note 601 - 700	95
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 701 - 800	Note 701 - 800	1540
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 801 - 900	Note 801 - 900	1915
2015	2015	Alberta	Alberta	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 901 - 1000	Note 901 - 1000	730
2015	2015	Alberta	Alberta	Federal Skilled Trades	Métiers spécialisés	Score 1001 - 1100	Note 1001 - 1100	40
2015	2015	Alberta	Alberta	Federal Skilled Trades	Métiers spécialisés	Score 1101 - 1200	Note 1101 - 1200	--
2015	2015	Alberta	Alberta	Federal Skilled Trades	Métiers spécialisés	Score 451 - 500	Note 451 - 500	--
2015	2015	Alberta	Alberta	Federal Skilled Trades	Métiers spécialisés	Score 501 - 600	Note 501 - 600	--
2015	2015	Alberta	Alberta	Federal Skilled Trades	Métiers spécialisés	Score 601 - 700	Note 601 - 700	50
2015	2015	Alberta	Alberta	Federal Skilled Trades	Métiers spécialisés	Score 701 - 800	Note 701 - 800	590
2015	2015	Alberta	Alberta	Federal Skilled Trades	Métiers spécialisés	Score 801 - 900	Note 801 - 900	515
2015	2015	Alberta	Alberta	Federal Skilled Trades	Métiers spécialisés	Score 901 - 1000	Note 901 - 1000	180
2015	2015	Alberta	Alberta	Federal Skilled Worker	Travailleurs qualifiés	Score 1001 - 1100	Note 1001 - 1100	315
2015	2015	Alberta	Alberta	Federal Skilled Worker	Travailleurs qualifiés	Score 1101 - 1200	Note 1101 - 1200	15
2015	2015	Alberta	Alberta	Federal Skilled Worker	Travailleurs qualifiés	Score 401 - 450	Note 401 - 450	30
2015	2015	Alberta	Alberta	Federal Skilled Worker	Travailleurs qualifiés	Score 451 - 500	Note 451 - 500	1065
2015	2015	Alberta	Alberta	Federal Skilled Worker	Travailleurs qualifiés	Score 501 - 600	Note 501 - 600	95
2015	2015	Alberta	Alberta	Federal Skilled Worker	Travailleurs qualifiés	Score 801 - 900	Note 801 - 900	75
2015	2015	Alberta	Alberta	Federal Skilled Worker	Travailleurs qualifiés	Score 901 - 1000	Note 901 - 1000	375
2015	2015	British Columbia	Colombie-Britannique	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 1001 - 1100	Note 1001 - 1100	30
2015	2015	British Columbia	Colombie-Britannique	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 1101 - 1200	Note 1101 - 1200	--
2015	2015	British Columbia	Colombie-Britannique	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 401 - 450	Note 401 - 450	--
2015	2015	British Columbia	Colombie-Britannique	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 451 - 500	Note 451 - 500	270
2015	2015	British Columbia	Colombie-Britannique	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 501 - 600	Note 501 - 600	60
2015	2015	British Columbia	Colombie-Britannique	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 601 - 700	Note 601 - 700	5
2015	2015	British Columbia	Colombie-Britannique	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 701 - 800	Note 701 - 800	160
2015	2015	British Columbia	Colombie-Britannique	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 801 - 900	Note 801 - 900	540
2015	2015	British Columbia	Colombie-Britannique	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 901 - 1000	Note 901 - 1000	220
2015	2015	British Columbia	Colombie-Britannique	Federal Skilled Trades	Métiers spécialisés	Score 1001 - 1100	Note 1001 - 1100	--
2015	2015	British Columbia	Colombie-Britannique	Federal Skilled Trades	Métiers spécialisés	Score 451 - 500	Note 451 - 500	--
2015	2015	British Columbia	Colombie-Britannique	Federal Skilled Trades	Métiers spécialisés	Score 501 - 600	Note 501 - 600	--
2015	2015	British Columbia	Colombie-Britannique	Federal Skilled Trades	Métiers spécialisés	Score 601 - 700	Note 601 - 700	20
2015	2015	British Columbia	Colombie-Britannique	Federal Skilled Trades	Métiers spécialisés	Score 701 - 800	Note 701 - 800	85
2015	2015	British Columbia	Colombie-Britannique	Federal Skilled Trades	Métiers spécialisés	Score 801 - 900	Note 801 - 900	65
2015	2015	British Columbia	Colombie-Britannique	Federal Skilled Trades	Métiers spécialisés	Score 901 - 1000	Note 901 - 1000	20
2015	2015	British Columbia	Colombie-Britannique	Federal Skilled Worker	Travailleurs qualifiés	Score 1001 - 1100	Note 1001 - 1100	175
2015	2015	British Columbia	Colombie-Britannique	Federal Skilled Worker	Travailleurs qualifiés	Score 1101 - 1200	Note 1101 - 1200	10
2015	2015	British Columbia	Colombie-Britannique	Federal Skilled Worker	Travailleurs qualifiés	Score 401 - 450	Note 401 - 450	25
2015	2015	British Columbia	Colombie-Britannique	Federal Skilled Worker	Travailleurs qualifiés	Score 451 - 500	Note 451 - 500	1065
2015	2015	British Columbia	Colombie-Britannique	Federal Skilled Worker	Travailleurs qualifiés	Score 501 - 600	Note 501 - 600	185
2015	2015	British Columbia	Colombie-Britannique	Federal Skilled Worker	Travailleurs qualifiés	Score 801 - 900	Note 801 - 900	40
2015	2015	British Columbia	Colombie-Britannique	Federal Skilled Worker	Travailleurs qualifiés	Score 901 - 1000	Note 901 - 1000	165
2015	2015	British Columbia	Colombie-Britannique	Provincial Nominee Program	Candidats des provinces ou des territoires	Score 1001 - 1100	Note 1001 - 1100	410
2015	2015	British Columbia	Colombie-Britannique	Provincial Nominee Program	Candidats des provinces ou des territoires	Score 1101 - 1200	Note 1101 - 1200	20
2015	2015	British Columbia	Colombie-Britannique	Provincial Nominee Program	Candidats des provinces ou des territoires	Score 701 - 800	Note 701 - 800	20
2015	2015	British Columbia	Colombie-Britannique	Provincial Nominee Program	Candidats des provinces ou des territoires	Score 801 - 900	Note 801 - 900	180
2015	2015	British Columbia	Colombie-Britannique	Provincial Nominee Program	Candidats des provinces ou des territoires	Score 901 - 1000	Note 901 - 1000	590
2015	2015	Manitoba	Manitoba	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 1001 - 1100	Note 1001 - 1100	--
2015	2015	Manitoba	Manitoba	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 451 - 500	Note 451 - 500	10
2015	2015	Manitoba	Manitoba	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 501 - 600	Note 501 - 600	--
2015	2015	Manitoba	Manitoba	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 701 - 800	Note 701 - 800	15
2015	2015	Manitoba	Manitoba	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 801 - 900	Note 801 - 900	15
2015	2015	Manitoba	Manitoba	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 901 - 1000	Note 901 - 1000	--
2015	2015	Manitoba	Manitoba	Federal Skilled Trades	Métiers spécialisés	Score 451 - 500	Note 451 - 500	--
2015	2015	Manitoba	Manitoba	Federal Skilled Trades	Métiers spécialisés	Score 601 - 700	Note 601 - 700	--
2015	2015	Manitoba	Manitoba	Federal Skilled Trades	Métiers spécialisés	Score 701 - 800	Note 701 - 800	--
2015	2015	Manitoba	Manitoba	Federal Skilled Trades	Métiers spécialisés	Score 801 - 900	Note 801 - 900	--
2015	2015	Manitoba	Manitoba	Federal Skilled Worker	Travailleurs qualifiés	Score 1001 - 1100	Note 1001 - 1100	5
2015	2015	Manitoba	Manitoba	Federal Skilled Worker	Travailleurs qualifiés	Score 401 - 450	Note 401 - 450	--
2015	2015	Manitoba	Manitoba	Federal Skilled Worker	Travailleurs qualifiés	Score 451 - 500	Note 451 - 500	50
2015	2015	Manitoba	Manitoba	Federal Skilled Worker	Travailleurs qualifiés	Score 501 - 600	Note 501 - 600	--
2015	2015	Manitoba	Manitoba	Federal Skilled Worker	Travailleurs qualifiés	Score 801 - 900	Note 801 - 900	5
2015	2015	Manitoba	Manitoba	Federal Skilled Worker	Travailleurs qualifiés	Score 901 - 1000	Note 901 - 1000	10
2015	2015	Manitoba	Manitoba	Provincial Nominee Program	Candidats des provinces ou des territoires	Score 1001 - 1100	Note 1001 - 1100	20
2015	2015	Manitoba	Manitoba	Provincial Nominee Program	Candidats des provinces ou des territoires	Score 801 - 900	Note 801 - 900	--
2015	2015	Manitoba	Manitoba	Provincial Nominee Program	Candidats des provinces ou des territoires	Score 901 - 1000	Note 901 - 1000	80
2015	2015	New Brunswick	Nouveau-Brunswick	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 451 - 500	Note 451 - 500	5
2015	2015	New Brunswick	Nouveau-Brunswick	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 501 - 600	Note 501 - 600	--
2015	2015	New Brunswick	Nouveau-Brunswick	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 701 - 800	Note 701 - 800	--
2015	2015	New Brunswick	Nouveau-Brunswick	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 801 - 900	Note 801 - 900	5
2015	2015	New Brunswick	Nouveau-Brunswick	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 901 - 1000	Note 901 - 1000	--
2015	2015	New Brunswick	Nouveau-Brunswick	Federal Skilled Trades	Métiers spécialisés	Score 701 - 800	Note 701 - 800	--
2015	2015	New Brunswick	Nouveau-Brunswick	Federal Skilled Trades	Métiers spécialisés	Score 801 - 900	Note 801 - 900	--
2015	2015	New Brunswick	Nouveau-Brunswick	Federal Skilled Worker	Travailleurs qualifiés	Score 1001 - 1100	Note 1001 - 1100	--
2015	2015	New Brunswick	Nouveau-Brunswick	Federal Skilled Worker	Travailleurs qualifiés	Score 451 - 500	Note 451 - 500	20
2015	2015	New Brunswick	Nouveau-Brunswick	Federal Skilled Worker	Travailleurs qualifiés	Score 501 - 600	Note 501 - 600	--
2015	2015	New Brunswick	Nouveau-Brunswick	Federal Skilled Worker	Travailleurs qualifiés	Score 901 - 1000	Note 901 - 1000	--
2015	2015	New Brunswick	Nouveau-Brunswick	Provincial Nominee Program	Candidats des provinces ou des territoires	Score 1001 - 1100	Note 1001 - 1100	20
2015	2015	New Brunswick	Nouveau-Brunswick	Provincial Nominee Program	Candidats des provinces ou des territoires	Score 801 - 900	Note 801 - 900	5
2015	2015	New Brunswick	Nouveau-Brunswick	Provincial Nominee Program	Candidats des provinces ou des territoires	Score 901 - 1000	Note 901 - 1000	60
2015	2015	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 1001 - 1100	Note 1001 - 1100	--
2015	2015	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 451 - 500	Note 451 - 500	--
2015	2015	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 701 - 800	Note 701 - 800	--
2015	2015	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 801 - 900	Note 801 - 900	10
2015	2015	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Canadian Experience Class	Catégorie de l'expérience canadienne	Score 901 - 1000	Note 901 - 1000	--
2015	2015	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Federal Skilled Trades	Métiers spécialisés	Score 1001 - 1100	Note 1001 - 1100	--
