vismin,immgen,education,income_stat,y2021,y2016,y2011,y2006
Total - Visible minority,Total – Immigrant and generation status,"Total - Highest certificate, diploma or degree",Average employment income ($),50280.0,46040.0,41800.0,36320.0
Total - Visible minority,Total – Immigrant and generation status,Bachelor’s degree or higher,Average employment income ($),72300.0,67800.0,62750.0,57550.0
Chinese,Total – Immigrant and generation status,"Total - Highest certificate, diploma or degree",Average employment income ($),50320.0,43480.0,40400.0,33000.0
Chinese,Total – Immigrant and generation status,Bachelor’s degree or higher,Average employment income ($),66700.0,59450.0,54150.0,45560.0
Not a visible minority,Total – Immigrant and generation status,"Total - Highest certificate, diploma or degree",Average employment income ($),52550.0,47920.0,42760.0,37360.0
Not a visible minority,Total – Immigrant and generation status,Bachelor’s degree or higher,Average employment income ($),80300.0,74300.0,67000.0,61900.0
Total - Visible minority,Non-immigrants,"Total - Highest certificate, diploma or degree",Average employment income ($),51400.0,47000.0,41960.0,36480.0
Total - Visible minority,Non-immigrants,Bachelor’s degree or higher,Average employment income ($),79200.0,73600.0,66500.0,61300.0
Chinese,Non-immigrants,"Total - Highest certificate, diploma or degree",Average employment income ($),55350.0,47480.0,41280.0,33680.0
Chinese,Non-immigrants,Bachelor’s degree or higher,Average employment income ($),74700.0,66100.0,58850.0,51750.0
Not a visible minority,Non-immigrants,"Total - Highest certificate, diploma or degree",Average employment income ($),52050.0,47600.0,42320.0,36760.0
Not a visible minority,Non-immigrants,Bachelor’s degree or higher,Average employment income ($),80600.0,74800.0,67300.0,62050.0
Total - Visible minority,Immigrants,"Total - Highest certificate, diploma or degree",Average employment income ($),49160.0,43840.0,41400.0,35880.0
Total - Visible minority,Immigrants,Bachelor’s degree or higher,Average employment income ($),65200.0,58850.0,55700.0,49600.0
Chinese,Immigrants,"Total - Highest certificate, diploma or degree",Average employment income ($),50400.0,44160.0,40680.0,33200.0
Chinese,Immigrants,Bachelor’s degree or higher,Average employment income ($),67000.0,60050.0,53900.0,44920.0
Not a visible minority,Immigrants,"Total - Highest certificate, diploma or degree",Average employment income ($),57250.0,51000.0,46600.0,41880.0
Not a visible minority,Immigrants,Bachelor’s degree or higher,Average employment income ($),79800.0,72200.0,65400.0,60800.0
Total - Visible minority,First generation,"Total - Highest certificate, diploma or degree",Average employment income ($),47400.0,43160.0,41240.0,35880.0
Total - Visible minority,First generation,Bachelor’s degree or higher,Average employment income ($),62300.0,57550.0,55300.0,49560.0
Chinese,First generation,"Total - Highest certificate, diploma or degree",Average employment income ($),48400.0,42400.0,40200.0,32840.0
Chinese,First generation,Bachelor’s degree or higher,Average employment income ($),64000.0,57550.0,53000.0,44240.0
Not a visible minority,First generation,"Total - Highest certificate, diploma or degree",Average employment income ($),56700.0,50760.0,46840.0,42120.0
Not a visible minority,First generation,Bachelor’s degree or higher,Average employment income ($),78400.0,71300.0,65600.0,61150.0
Total - Visible minority,Second generation,"Total - Highest certificate, diploma or degree",Average employment income ($),54750.0,49680.0,44800.0,38800.0
Total - Visible minority,Second generation,Bachelor’s degree or higher,Average employment income ($),80200.0,74900.0,67200.0,61200.0
Chinese,Second generation,"Total - Highest certificate, diploma or degree",Average employment income ($),58200.0,48440.0,41680.0,33240.0
Chinese,Second generation,Bachelor’s degree or higher,Average employment income ($),76700.0,66800.0,58450.0,50520.0
Not a visible minority,Second generation,"Total - Highest certificate, diploma or degree",Average employment income ($),59150.0,53600.0,47280.0,40880.0
Not a visible minority,Second generation,Bachelor’s degree or higher,Average employment income ($),86500.0,80400.0,70800.0,64600.0
Total - Visible minority,Third generation or more,"Total - Highest certificate, diploma or degree",Average employment income ($),50560.0,46320.0,41240.0,35880.0
Total - Visible minority,Third generation or more,Bachelor’s degree or higher,Average employment income ($),79000.0,73200.0,66300.0,61250.0
Chinese,Third generation or more,"Total - Highest certificate, diploma or degree",Average employment income ($),46120.0,39720.0,37640.0,38080.0
