GEO,Generation status (4),"Highest certificate, diploma or degree (16)",Age (15B),Gender (3),Income statistics (17),Arab[7],Black[5],Chinese[4],Filipino[6],Japanese[12],Korean[11],Latin American[8],Multiple visible minorities[14],Not a visible minority[15],South Asian[3],Southeast Asian[9],Total - Visible minority[1],Total visible minority population[2],"Visible minority, n.i.e.[13]",West Asian[10]
Canada,Total - Generation status,"Total - Highest certificate, diploma or degree",Total - Age,Total - Gender,Total - Income statistics,512025.0,1144105.0,1455200.0,781555.0,80550.0,183195.0,495585.0,220955.0,22614005.0,2083385.0,324255.0,30335915.0,7721915.0,142120.0,298990.0
Canada,Total - Generation status,"Total - Highest certificate, diploma or degree",Total - Age,Total - Gender,Median total income ($),31200.0,37200.0,32800.0,40800.0,39200.0,31000.0,36000.0,35200.0,43200.0,34400.0,33200.0,41200.0,35200.0,37200.0,30800.0
Canada,Total - Generation status,"Total - Highest certificate, diploma or degree",Total - Age,Total - Gender,Average total income ($),44760.0,44640.0,49320.0,45400.0,54150.0,43120.0,44840.0,47440.0,57050.0,47800.0,42840.0,54450.0,46560.0,47280.0,43640.0
Canada,Total - Generation status,"Total - Highest certificate, diploma or degree",Total - Age,Total - Gender,Median after-tax income ($),29600.0,34400.0,30600.0,36800.0,35600.0,29200.0,33200.0,32800.0,38400.0,32000.0,30800.0,36800.0,32400.0,34000.0,29200.0
Canada,Total - Generation status,"Total - Highest certificate, diploma or degree",Total - Age,Total - Gender,Median employment income ($),24200.0,31000.0,34400.0,37200.0,35200.0,28000.0,32400.0,32800.0,39600.0,31000.0,29200.0,37200.0,32000.0,36400.0,24000.0
Canada,Total - Generation status,"Total - Highest certificate, diploma or degree",Total - Age,Total - Gender,Average employment income ($),42080.0,39240.0,50320.0,41280.0,51450.0,41840.0,41760.0,44880.0,52550.0,45360.0,39600.0,50280.0,43920.0,45320.0,40600.0
Canada,Total - Generation status,"Total - Highest certificate, diploma or degree",Total - Age,Total - Gender,"Median wages, salaries and commissions ($)",28400.0,33200.0,39200.0,38000.0,37600.0,30400.0,34800.0,35600.0,42000.0,33200.0,31800.0,40000.0,34800.0,39600.0,29200.0
Canada,Total - Generation status,"Total - Highest certificate, diploma or degree",Total - Age,Total - Gender,Total - Income statistics,508969.0,1139734.0,1451833.0,778424.0,79377.0,181967.0,492306.0,218695.0,22605044.0,2078248.0,321073.0,30335222.0,7713131.0,139937.0,296445.0
Canada,Total - Generation status,"Total - Highest certificate, diploma or degree",Total - Age,Total - Gender,Median total income ($),31042.0,37075.0,32690.0,40677.0,38654.0,30784.0,35804.0,34854.0,43174.0,34315.0,32972.0,41180.0,35162.0,36797.0,30598.0
Canada,Total - Generation status,"Total - Highest certificate, diploma or degree",Total - Age,Total - Gender,Average total income ($),42743.0,44518.0,49122.0,45275.0,53213.0,42664.0,44585.0,47024.0,56952.0,47588.0,42547.0,54367.0,46379.0,46763.0,43204.0
