vismin,status,gen_total,gen_first,gen_second,gen_thirdplus
Total - Visible minority,Total - Individual low-income status based on low-income mea,36328475.0,9606600.0,6393315.0,20328565.0
Total - Visible minority,In low income (LIM-AT),4017145.0,1337430.0,577615.0,2102105.0
Total - Visible minority,Not in low income (LIM-AT),32311330.0,8269170.0,5815700.0,18226460.0
Total - Visible minority,Prevalence of low income (LIM-AT) (%),11.1,13.9,9.0,10.3
Chinese,Total - Individual low-income status based on low-income mea,1715775.0,1228970.0,427140.0,59660.0
Chinese,In low income (LIM-AT),299790.0,257815.0,38595.0,3380.0
Chinese,Not in low income (LIM-AT),1415985.0,971155.0,388545.0,56285.0
Chinese,Prevalence of low income (LIM-AT) (%),17.5,21.0,9.0,5.7
Not a visible minority,Total - Individual low-income status based on low-income mea,26689275.0,2933040.0,3798130.0,19958110.0
Not a visible minority,In low income (LIM-AT),2754390.0,358290.0,331945.0,2064160.0
Not a visible minority,Not in low income (LIM-AT),23934885.0,2574750.0,3466180.0,17893950.0
Not a visible minority,Prevalence of low income (LIM-AT) (%),10.3,12.2,8.7,10.3
