vismin,generation,age,mother_tongue,total,single
Total - Visible minority,Total - Generation status,Total - Age,Total - Mother tongue,36328475.0,34874025.0
Total - Visible minority,Total - Generation status,Total - Age,English,21226110.0,19979065.0
Total - Visible minority,Total - Generation status,Total - Age,French,7546925.0,7095100.0
Total - Visible minority,Total - Generation status,Total - Age,Chinese languages,1396240.0,1289140.0
Total - Visible minority,Total - Generation status,Total - Age,Mandarin,728565.0,678245.0
Total - Visible minority,Total - Generation status,Total - Age,Yue (Cantonese),609900.0,553085.0
Total - Visible minority,Total - Generation status,Total - Age,"Chinese, n.o.s.",12385.0,10250.0
Total - Visible minority,Total - Generation status,25 to 54 years,Total - Mother tongue,14405895.0,13761420.0
Total - Visible minority,Total - Generation status,25 to 54 years,English,8051185.0,7504790.0
Total - Visible minority,Total - Generation status,25 to 54 years,French,2763170.0,2583170.0
Total - Visible minority,Total - Generation status,25 to 54 years,Chinese languages,630190.0,586210.0
Total - Visible minority,Total - Generation status,25 to 54 years,Mandarin,373155.0,356360.0
Total - Visible minority,Total - Generation status,25 to 54 years,Yue (Cantonese),236035.0,208575.0
Total - Visible minority,Total - Generation status,25 to 54 years,"Chinese, n.o.s.",4125.0,3295.0
Total - Visible minority,First generation,Total - Age,Total - Mother tongue,9606600.0,8882610.0
Total - Visible minority,First generation,Total - Age,English,2661270.0,2094075.0
Total - Visible minority,First generation,Total - Age,French,558575.0,438735.0
Total - Visible minority,First generation,Total - Age,Chinese languages,1158805.0,1103395.0
Total - Visible minority,First generation,Total - Age,Mandarin,636545.0,607135.0
Total - Visible minority,First generation,Total - Age,Yue (Cantonese),471075.0,444380.0
Total - Visible minority,First generation,Total - Age,"Chinese, n.o.s.",10875.0,9165.0
Total - Visible minority,First generation,25 to 54 years,Total - Mother tongue,4706405.0,4303625.0
Total - Visible minority,First generation,25 to 54 years,English,1141110.0,825160.0
Total - Visible minority,First generation,25 to 54 years,French,299435.0,235580.0
Total - Visible minority,First generation,25 to 54 years,Chinese languages,555110.0,528020.0
Total - Visible minority,First generation,25 to 54 years,Mandarin,367410.0,352320.0
Total - Visible minority,First generation,25 to 54 years,Yue (Cantonese),170015.0,157255.0
Total - Visible minority,First generation,25 to 54 years,"Chinese, n.o.s.",3605.0,2945.0
Total - Visible minority,Second generation,Total - Age,Total - Mother tongue,6393315.0,5933965.0
Total - Visible minority,Second generation,Total - Age,English,4692635.0,4277155.0
Total - Visible minority,Second generation,Total - Age,French,584010.0,459000.0
Total - Visible minority,Second generation,Total - Age,Chinese languages,233185.0,183105.0
Total - Visible minority,Second generation,Total - Age,Mandarin,91510.0,70775.0
Total - Visible minority,Second generation,Total - Age,Yue (Cantonese),135420.0,106595.0
Total - Visible minority,Second generation,Total - Age,"Chinese, n.o.s.",1345.0,995.0
Total - Visible minority,Second generation,25 to 54 years,Total - Mother tongue,2131750.0,1993695.0
Total - Visible minority,Second generation,25 to 54 years,English,1648180.0,1519435.0
Total - Visible minority,Second generation,25 to 54 years,French,159070.0,124080.0
Total - Visible minority,Second generation,25 to 54 years,Chinese languages,74455.0,57805.0
Total - Visible minority,Second generation,25 to 54 years,Mandarin,5665.0,3990.0
Total - Visible minority,Second generation,25 to 54 years,Yue (Cantonese),65570.0,51025.0
Total - Visible minority,Second generation,25 to 54 years,"Chinese, n.o.s.",485.0,335.0
Total - Visible minority,Third generation or more,Total - Age,Total - Mother tongue,20328565.0,20057450.0
Total - Visible minority,Third generation or more,Total - Age,English,13872210.0,13607840.0
Total - Visible minority,Third generation or more,Total - Age,French,6404340.0,6197365.0
Total - Visible minority,Third generation or more,Total - Age,Chinese languages,4250.0,2640.0
Total - Visible minority,Third generation or more,Total - Age,Mandarin,505.0,330.0
Total - Visible minority,Third generation or more,Total - Age,Yue (Cantonese),3400.0,2105.0
Total - Visible minority,Third generation or more,Total - Age,"Chinese, n.o.s.",160.0,95.0
Total - Visible minority,Third generation or more,25 to 54 years,Total - Mother tongue,7567750.0,7464100.0
Total - Visible minority,Third generation or more,25 to 54 years,English,5261900.0,5160195.0
Total - Visible minority,Third generation or more,25 to 54 years,French,2304665.0,2223505.0
Total - Visible minority,Third generation or more,25 to 54 years,Chinese languages,625.0,380.0
Total - Visible minority,Third generation or more,25 to 54 years,Mandarin,90.0,50.0
Total - Visible minority,Third generation or more,25 to 54 years,Yue (Cantonese),450.0,300.0
Total - Visible minority,Third generation or more,25 to 54 years,"Chinese, n.o.s.",30.0,15.0
Chinese,Total - Generation status,Total - Age,Total - Mother tongue,1715775.0,1613590.0
Chinese,Total - Generation status,Total - Age,English,419775.0,331330.0
Chinese,Total - Generation status,Total - Age,French,25860.0,16505.0
Chinese,Total - Generation status,Total - Age,Chinese languages,1348205.0,1252240.0
Chinese,Total - Generation status,Total - Age,Mandarin,716665.0,669930.0
Chinese,Total - Generation status,Total - Age,Yue (Cantonese),582285.0,531150.0
Chinese,Total - Generation status,Total - Age,"Chinese, n.o.s.",11030.0,9725.0
Chinese,Total - Generation status,25 to 54 years,Total - Mother tongue,735500.0,694120.0
Chinese,Total - Generation status,25 to 54 years,English,147650.0,112395.0
Chinese,Total - Generation status,25 to 54 years,French,7715.0,5175.0
Chinese,Total - Generation status,25 to 54 years,Chinese languages,609925.0,570635.0
Chinese,Total - Generation status,25 to 54 years,Mandarin,367920.0,352430.0
Chinese,Total - Generation status,25 to 54 years,Yue (Cantonese),224430.0,199525.0
Chinese,Total - Generation status,25 to 54 years,"Chinese, n.o.s.",3520.0,3070.0
Chinese,First generation,Total - Age,Total - Mother tongue,1228970.0,1177270.0
Chinese,First generation,Total - Age,English,119655.0,79255.0
Chinese,First generation,Total - Age,French,13000.0,9850.0
Chinese,First generation,Total - Age,Chinese languages,1124855.0,1075780.0
Chinese,First generation,Total - Age,Mandarin,627435.0,600270.0
Chinese,First generation,Total - Age,Yue (Cantonese),453015.0,429035.0
Chinese,First generation,Total - Age,"Chinese, n.o.s.",9810.0,8775.0
Chinese,First generation,25 to 54 years,Total - Mother tongue,585085.0,559800.0
Chinese,First generation,25 to 54 years,English,53765.0,34100.0
Chinese,First generation,25 to 54 years,French,4990.0,3715.0
Chinese,First generation,25 to 54 years,Chinese languages,540550.0,516480.0
Chinese,First generation,25 to 54 years,Mandarin,362705.0,348710.0
Chinese,First generation,25 to 54 years,Yue (Cantonese),162590.0,151190.0
Chinese,First generation,25 to 54 years,"Chinese, n.o.s.",3135.0,2785.0
Chinese,Second generation,Total - Age,Total - Mother tongue,427135.0,378710.0
Chinese,Second generation,Total - Age,English,244175.0,198150.0
Chinese,Second generation,Total - Age,French,10665.0,5325.0
Chinese,Second generation,Total - Age,Chinese languages,219865.0,174190.0
Chinese,Second generation,Total - Age,Mandarin,88835.0,69395.0
Chinese,Second generation,Total - Age,Yue (Cantonese),126340.0,100230.0
Chinese,Second generation,Total - Age,"Chinese, n.o.s.",1135.0,900.0
Chinese,Second generation,25 to 54 years,Total - Mother tongue,136755.0,120980.0
Chinese,Second generation,25 to 54 years,English,80920.0,65645.0
Chinese,Second generation,25 to 54 years,French,2200.0,1100.0
Chinese,Second generation,25 to 54 years,Chinese languages,68895.0,53840.0
Chinese,Second generation,25 to 54 years,Mandarin,5160.0,3690.0
Chinese,Second generation,25 to 54 years,Yue (Cantonese),61450.0,48070.0
Chinese,Second generation,25 to 54 years,"Chinese, n.o.s.",370.0,280.0
Chinese,Third generation or more,Total - Age,Total - Mother tongue,59660.0,57610.0
Chinese,Third generation or more,Total - Age,English,55940.0,53925.0
Chinese,Third generation or more,Total - Age,French,2190.0,1330.0
Chinese,Third generation or more,Total - Age,Chinese languages,3490.0,2265.0
Chinese,Third generation or more,Total - Age,Mandarin,400.0,265.0
Chinese,Third generation or more,Total - Age,Yue (Cantonese),2935.0,1885.0
Chinese,Third generation or more,Total - Age,"Chinese, n.o.s.",75.0,60.0
Chinese,Third generation or more,25 to 54 years,Total - Mother tongue,13665.0,13340.0
Chinese,Third generation or more,25 to 54 years,English,12965.0,12650.0
Chinese,Third generation or more,25 to 54 years,French,525.0,355.0
Chinese,Third generation or more,25 to 54 years,Chinese languages,485.0,315.0
Chinese,Third generation or more,25 to 54 years,Mandarin,50.0,25.0
Chinese,Third generation or more,25 to 54 years,Yue (Cantonese),395.0,265.0
Chinese,Third generation or more,25 to 54 years,"Chinese, n.o.s.",10.0,10.0
Not a visible minority,Total - Generation status,Total - Age,Total - Mother tongue,26689275.0,26137210.0
Not a visible minority,Total - Generation status,Total - Age,English,17665795.0,17179120.0
Not a visible minority,Total - Generation status,Total - Age,French,6954555.0,6657365.0
Not a visible minority,Total - Generation status,Total - Age,Chinese languages,1380.0,840.0
