generation,education,age,occupation,kind,chinese,total_pop,not_vismin
Total - Generation status,"Total - Highest certificate, diploma or degree",Total - Age,0 Legislative and senior management occupations,mgmt,8650.0,267690.0,229745.0
Total - Generation status,"Total - Highest certificate, diploma or degree",Total - Age,"1 Business, finance and administration occupations",broad,210790.0,3557055.0,2610890.0
Total - Generation status,"Total - Highest certificate, diploma or degree",Total - Age,"10 Specialized middle management occupations in administrative services, fi",mgmt,30675.0,453640.0,333660.0
Total - Generation status,"Total - Highest certificate, diploma or degree",Total - Age,2 Natural and applied sciences and related occupations,tech_broad,144630.0,1666685.0,1070360.0
Total - Generation status,"Total - Highest certificate, diploma or degree",Total - Age,"20 Specialized middle management occupations in engineering, architecture, ",mgmt,9040.0,134620.0,92905.0
Total - Generation status,"Total - Highest certificate, diploma or degree",Total - Age,21 Professional occupations in natural and applied sciences,tech_prof,107130.0,966165.0,560680.0
Total - Generation status,"Total - Highest certificate, diploma or degree",Total - Age,3 Health occupations,broad,61540.0,1601715.0,1106660.0
Total - Generation status,"Total - Highest certificate, diploma or degree",Total - Age,30 Specialized middle management occupations in health care,mgmt,1220.0,39060.0,31065.0
Total - Generation status,"Total - Highest certificate, diploma or degree",Total - Age,"4 Occupations in education, law and social, community and government servic",broad,89410.0,2532175.0,1992900.0
Total - Generation status,"Total - Highest certificate, diploma or degree",Total - Age,"5 Occupations in art, culture, recreation and sport",broad,35635.0,697255.0,552860.0
Total - Generation status,"Total - Highest certificate, diploma or degree",Total - Age,"50 Specialized middle management occupations in art, culture, recreation an",mgmt,905.0,27950.0,24160.0
Total - Generation status,"Total - Highest certificate, diploma or degree",Total - Age,6 Sales and service occupations,broad,258425.0,5226370.0,3580575.0
Total - Generation status,"Total - Highest certificate, diploma or degree",Total - Age,60 Middle management occupations in retail and wholesale trade and customer,mgmt,41170.0,716470.0,527585.0
Total - Generation status,"Total - Highest certificate, diploma or degree",Total - Age,"7 Trades, transport and equipment operators and related occupations",broad,73800.0,3526800.0,2784400.0
Total - Generation status,"Total - Highest certificate, diploma or degree",Total - Age,70 Middle management occupations in trades and transportation,mgmt,12535.0,290490.0,231535.0
Total - Generation status,"Total - Highest certificate, diploma or degree",Total - Age,"8 Natural resources, agriculture and related production occupations",broad,6170.0,617430.0,561440.0
Total - Generation status,"Total - Highest certificate, diploma or degree",Total - Age,80 Middle management occupations in production and agriculture,mgmt,1650.0,193100.0,184610.0
Total - Generation status,"Total - Highest certificate, diploma or degree",Total - Age,9 Occupations in manufacturing and utilities,broad,36820.0,937355.0,620895.0
Total - Generation status,"Total - Highest certificate, diploma or degree",Total - Age,90 Middle management occupations in manufacturing and utilities,mgmt,3720.0,87465.0,70380.0
Total - Generation status,"Total - Highest certificate, diploma or degree",25 to 34 years,0 Legislative and senior management occupations,mgmt,1165.0,23695.0,18260.0
Total - Generation status,"Total - Highest certificate, diploma or degree",25 to 34 years,"1 Business, finance and administration occupations",broad,60905.0,758760.0,480040.0
Total - Generation status,"Total - Highest certificate, diploma or degree",25 to 34 years,"10 Specialized middle management occupations in administrative services, fi",mgmt,8885.0,94750.0,60030.0
Total - Generation status,"Total - Highest certificate, diploma or degree",25 to 34 years,2 Natural and applied sciences and related occupations,tech_broad,39285.0,442055.0,249750.0
Total - Generation status,"Total - Highest certificate, diploma or degree",25 to 34 years,"20 Specialized middle management occupations in engineering, architecture, ",mgmt,1720.0,20195.0,11885.0
Total - Generation status,"Total - Highest certificate, diploma or degree",25 to 34 years,21 Professional occupations in natural and applied sciences,tech_prof,30875.0,283755.0,144645.0
Total - Generation status,"Total - Highest certificate, diploma or degree",25 to 34 years,3 Health occupations,broad,18855.0,407420.0,273585.0
Total - Generation status,"Total - Highest certificate, diploma or degree",25 to 34 years,30 Specialized middle management occupations in health care,mgmt,270.0,5435.0,3615.0
Total - Generation status,"Total - Highest certificate, diploma or degree",25 to 34 years,"4 Occupations in education, law and social, community and government servic",broad,26150.0,574240.0,429770.0
Total - Generation status,"Total - Highest certificate, diploma or degree",25 to 34 years,"5 Occupations in art, culture, recreation and sport",broad,10840.0,167120.0,122770.0
Total - Generation status,"Total - Highest certificate, diploma or degree",25 to 34 years,"50 Specialized middle management occupations in art, culture, recreation an",mgmt,215.0,5765.0,4770.0
Total - Generation status,"Total - Highest certificate, diploma or degree",25 to 34 years,6 Sales and service occupations,broad,52690.0,982000.0,613110.0
Total - Generation status,"Total - Highest certificate, diploma or degree",25 to 34 years,60 Middle management occupations in retail and wholesale trade and customer,mgmt,9485.0,146130.0,97360.0
Total - Generation status,"Total - Highest certificate, diploma or degree",25 to 34 years,"7 Trades, transport and equipment operators and related occupations",broad,13760.0,727535.0,557175.0
Total - Generation status,"Total - Highest certificate, diploma or degree",25 to 34 years,70 Middle management occupations in trades and transportation,mgmt,2565.0,49675.0,36075.0
Total - Generation status,"Total - Highest certificate, diploma or degree",25 to 34 years,"8 Natural resources, agriculture and related production occupations",broad,840.0,98640.0,87665.0
Total - Generation status,"Total - Highest certificate, diploma or degree",25 to 34 years,80 Middle management occupations in production and agriculture,mgmt,195.0,21300.0,20065.0
Total - Generation status,"Total - Highest certificate, diploma or degree",25 to 34 years,9 Occupations in manufacturing and utilities,broad,3525.0,161130.0,108290.0
Total - Generation status,"Total - Highest certificate, diploma or degree",25 to 34 years,90 Middle management occupations in manufacturing and utilities,mgmt,605.0,10845.0,7805.0
Total - Generation status,"Total - Highest certificate, diploma or degree",35 to 44 years,0 Legislative and senior management occupations,mgmt,2185.0,57580.0,46510.0
