age,body_type,diet,drinks,drugs,education,ethnicity,height,income,job,offspring,orientation,pets,religion,sex,sign,smokes,speaks,status
22,a little extra,strictly anything,socially,never,working on college/university,"asian, white",75,-1,transportation,"doesn&rsquo;t have kids, but might want them",straight,likes dogs and likes cats,agnosticism and very serious about it,m,gemini,sometimes,english,single
36,average,mostly other,often,sometimes,working on space camp,white,70,80000,hospitality / travel,"doesn&rsquo;t have kids, but might want them",straight,likes dogs and likes cats,agnosticism but not too serious about it,m,cancer,no,"english (fluently), spanish (poorly), french (poorly)",single
37,thin,anything,socially,,graduated from masters program,,68,-1,,,straight,has cats,,m,pisces but it doesn&rsquo;t matter,no,"english, french, c++",available
22,thin,vegetarian,socially,,working on college/university,white,71,20000,student,doesn&rsquo;t want kids,straight,likes cats,,m,pisces,no,"english, german (poorly)",single
30,athletic,,socially,never,graduated from college/university,"asian, black, other",66,-1,artistic / musical / writer,,straight,likes dogs and likes cats,,m,aquarius,no,english,single
28,average,mostly anything,socially,,graduated from college/university,white,67,-1,computer / hardware / software,"doesn&rsquo;t have kids, but might want them",straight,likes cats,atheism,m,taurus,no,"english (fluently), chinese (okay)",single
32,fit,strictly anything,socially,never,graduated from college/university,"white, other",65,-1,,,straight,likes dogs and likes cats,,f,virgo,,english,single
30,average,mostly anything,socially,never,graduated from college/university,white,65,-1,artistic / musical / writer,"doesn&rsquo;t have kids, but wants them",straight,likes dogs and likes cats,christianity,f,sagittarius,no,"english, spanish (okay)",single
25,,strictly anything,socially,,graduated from college/university,white,67,-1,,doesn&rsquo;t have kids,straight,likes dogs and likes cats,christianity but not too serious about it,f,gemini but it doesn&rsquo;t matter,when drinking,english,single
37,athletic,mostly anything,not at all,never,working on two-year college,white,65,-1,student,,straight,likes dogs and likes cats,atheism and laughing about it,m,cancer but it doesn&rsquo;t matter,no,english (fluently),single
34,average,mostly anything,socially,,,white,70,-1,,,straight,,,m,taurus,yes,english,available
27,average,mostly anything,socially,never,graduated from college/university,white,72,40000,banking / financial / real estate,,straight,likes cats,christianity and very serious about it,m,leo but it doesn&rsquo;t matter,no,"english (fluently), sign language (poorly)",seeing someone
23,,,often,,,white,72,-1,entertainment / media,doesn&rsquo;t have kids,straight,,other,m,taurus,,english,single
29,skinny,mostly anything,socially,never,graduated from high school,white,66,30000,sales / marketing / biz dev,,straight,has dogs and likes cats,christianity but not too serious about it,f,,no,english,single
29,thin,mostly anything,socially,never,working on college/university,"hispanic / latin, white",62,50000,other,"doesn&rsquo;t have kids, but wants them",straight,likes dogs and has cats,catholicism,f,taurus,no,english,single
40,fit,strictly anything,socially,,graduated from college/university,white,65,-1,medicine / health,doesn&rsquo;t have kids,straight,likes dogs and has cats,atheism and laughing about it,f,aquarius but it doesn&rsquo;t matter,no,"english (fluently), spanish (okay)",single
33,fit,,socially,,working on masters program,white,70,-1,entertainment / media,,straight,likes dogs and likes cats,,m,pisces but it doesn&rsquo;t matter,sometimes,"english (fluently), c++ (fluently), german (poorly), french (poorly)",single
