artist,billing_tier,day,poster_rank
ADÉLA,5,Sun,1
Airwolf Paradise,5,Sun,2
Azzecca,5,Sat,3
Baby J,5,Sat,4
Bassvictim,4,Sat,5
Beltran b2b Ben Sterling,5,Sat,6
Ben UFO,4,Sun,7
Brunello,5,Sat,8
Channel Tres,4,Sun,9
Chloé Caillet,5,Sat,10
Clearcast,5,Sat,11
Daphni,4,Sun,12
Dean Turnley,5,Sat,13
DESPACIO,3,Both,14
DJ Shadow,3,Sat,15
DOG BLOOD,1,Sat,16
ear,5,Sun,17
erika b2b sfcowboy,5,Sat,18
Fatboy Slim,3,Sat,19
Fcukers,4,Sat,20
Felly Fell,5,Sat,21
Four Tet,3,Sun,22
Gelli Haha,5,Sat,23
Groove Armada,3,Sat,24
horsegiirL,4,Sun,25
jigitz,5,Sun,26
JT,4,Sun,27
Jyoty,5,Sat,28
Kelela,4,Sun,29
KETTAMA,4,Sat,30
Marlon Hoffstadt,5,Sat,31
Max Styler,5,Sat,32
Melanie C,4,Sat,33
MGNA Crrrta,5,Sun,34
Mike D 5D,3,Sat,35
Mind Enterprises,5,Sun,36
Mochakk,4,Sat,37
nate sib,5,Sun,38
nimino,5,Sat,39
Ninajirachi,4,Sun,40
oskar med k,5,Sat,41
Overmono,3,Sun,42
Parcels,4,Sat,43
Prospa,5,Sun,44
Ranger Trucco b2b Alisha,5,Sun,45
riria,5,Sat,46
Robyn,1,Sat,47
Sam Alfred,5,Sun,48
SG Lewis,4,Sat,49
Silva Bumpa,5,Sun,50
Six Sex,5,Sun,51
Skepta,3,Sat,52
Soulwax,2,Sat,53
Swedish House Mafia,1,Sun,54
Tiësto,2,Sun,55
Torren Foot,5,Sat,56
Tove Lo,3,Sat,57
Tricky,4,Sat,58
underscores,4,Sun,59
VTSS,5,Sat,60
Zara Larsson,2,Sun,61
ZULAN,5,Sat,62
Kaytree,5,Sun,63
